background_level,reader_sessions,writer_sessions,mode,clients,threads,duration_s,sampling_rate,transactions_processed,failed_transactions,latency_avg_ms,latency_stddev_ms,throughput_tps,sampled_transactions,total_log_lines,estimated_total_transactions,p50_ms,p95_ms,p99_ms,min_ms,max_ms,non_numeric_log_entries,reader_batches,writer_batches
0,0,0,local,16,8,16,0.2,125157,0,2.041,-1.0,7841.069318,25081,25081,125405,1.962,2.638,3.276,1.008,113.665,0,0,0
1,1,1,local,16,8,12,0.05,92958,0,2.059,-1.0,7770.778502,4619,4619,92380,1.979,2.721,3.587,1.147,31.752,0,6,26
2,2,2,local,16,8,12,0.05,85770,0,2.232,-1.0,7168.926727,4410,4410,88200,2.004,2.884,4.1,0.984,184.1,0,11,54
4,4,4,local,16,8,12,0.05,82672,0,2.316,-1.0,6909.580708,4166,4166,83320,2.103,3.178,4.302,1.102,63.335,0,20,116
8,8,8,local,16,8,12,0.05,55275,0,3.463,-1.0,4620.345519,2683,2683,53660,2.278,3.823,6.779,1.177,546.616,0,40,243
0,0,0,off,16,8,16,0.2,51238,0,4.985,-1.0,3209.579503,10232,10232,51160,4.857,6.521,7.551,2.107,68.648,0,0,0
1,1,1,off,16,8,12,0.05,37326,0,5.128,-1.0,3120.07812,1909,1909,38180,4.967,6.689,7.987,2.295,22.355,0,6,25
2,2,2,off,16,8,12,0.05,37479,0,5.109,-1.0,3132.005521,1868,1868,37360,4.978,6.72,7.891,2.331,30.851,0,11,51
4,4,4,off,16,8,12,0.05,35764,0,5.355,-1.0,2987.916416,1763,1763,35260,5.217,7.102,8.316,2.175,30.992,0,20,108
8,8,8,off,16,8,12,0.05,35771,0,5.352,-1.0,2989.402084,1769,1769,35380,5.195,7.223,9.228,1.934,109.225,0,40,226
0,0,0,on,16,8,16,0.2,112416,0,2.272,-1.0,7042.506756,22269,22269,111345,2.211,3.206,3.884,1.144,68.722,0,0,0
1,1,1,on,16,8,12,0.05,81743,0,2.342,-1.0,6831.390113,4077,4077,81540,2.233,3.258,4.167,1.161,71.323,0,6,26
2,2,2,on,16,8,12,0.05,77943,0,2.456,-1.0,6514.34463,3905,3905,78100,2.286,3.454,4.639,1.227,88.013,0,11,54
4,4,4,on,16,8,12,0.05,59234,0,3.231,-1.0,4951.748168,2991,2991,59820,2.38,3.946,9.978,1.239,245.517,0,20,107
8,8,8,on,16,8,12,0.05,38037,0,5.097,-1.0,3138.999834,1943,1943,38860,2.664,6.142,78.492,1.097,528.802,0,40,212
0,0,0,remote_apply,16,8,16,0.2,112002,0,2.28,-1.0,7016.63778,22543,22543,112715,2.219,3.207,3.957,1.18,62.576,0,0,0
1,1,1,remote_apply,16,8,12,0.05,74406,0,2.572,-1.0,6220.572752,3723,3723,74460,2.273,3.54,5.107,1.237,75.382,0,6,26
2,2,2,remote_apply,16,8,12,0.05,70205,0,2.726,-1.0,5869.218218,3413,3413,68260,2.319,3.724,5.74,1.131,204.69,0,10,50
4,4,4,remote_apply,16,8,12,0.05,55856,0,3.427,-1.0,4668.64771,2849,2849,56980,2.427,4.372,21.07,1.229,180.499,0,20,106
8,8,8,remote_apply,16,8,12,0.05,35399,0,5.426,-1.0,2948.562785,1780,1780,35600,2.722,7.055,61.832,1.339,653.247,0,40,211
0,0,0,remote_write,16,8,16,0.2,115668,0,2.208,-1.0,7246.541607,23005,23005,115025,2.16,3.069,3.797,1.107,65.626,0,0,0
1,1,1,remote_write,16,8,12,0.05,79750,0,2.401,-1.0,6664.488904,4020,4020,80400,2.225,3.32,4.424,1.134,76.146,0,6,26
2,2,2,remote_write,16,8,12,0.05,69699,0,2.746,-1.0,5825.835284,3482,3482,69640,2.262,3.561,6.518,1.073,198.905,0,10,52
4,4,4,remote_write,16,8,12,0.05,56299,0,3.4,-1.0,4705.622952,2802,2802,56040,2.335,4.094,16.679,1.205,451.029,0,20,104
8,8,8,remote_write,16,8,12,0.05,37144,0,5.152,-1.0,3105.477635,1777,1777,35540,2.675,6.018,37.392,1.177,1245.801,0,40,216
