background_level,reader_sessions,writer_sessions,mode,clients,threads,duration_s,sampling_rate,transactions_processed,failed_transactions,latency_avg_ms,latency_stddev_ms,throughput_tps,sampled_transactions,total_log_lines,estimated_total_transactions,p50_ms,p95_ms,p99_ms,min_ms,max_ms,non_numeric_log_entries,reader_batches,writer_batches
0,0,0,off,16,8,16,0.2,61915,0,4.126,-1.0,3878.130432,12279,12279,61395,4.066,5.524,6.309,1.215,16.34,0,0,0
1,1,1,off,16,8,16,0.2,61132,0,4.179,-1.0,3829.095993,12536,12536,62680,4.132,5.611,6.437,0.858,14.955,0,22,180
2,2,2,off,16,8,16,0.2,60170,0,4.245,-1.0,3769.269584,11858,11858,59290,4.181,5.76,6.642,1.513,13.439,0,44,324
4,4,4,off,16,8,16,0.2,58655,0,4.355,-1.0,3673.894006,11861,11861,59305,4.25,5.873,6.864,0.519,130.474,0,83,491
8,8,8,off,16,8,16,0.2,56459,0,4.524,-1.0,3536.398396,11351,11351,56755,4.391,6.183,7.118,0.471,235.439,0,159,540
0,0,0,local,16,8,16,0.2,175994,0,1.451,-1.0,11025.264943,34915,34915,174575,1.414,2.152,2.539,0.346,13.542,0,0,0
1,1,1,local,16,8,16,0.2,167181,0,1.528,-1.0,10472.264482,33509,33509,167545,1.472,2.226,2.666,0.342,63.034,0,22,177
2,2,2,local,16,8,16,0.2,157726,0,1.62,-1.0,9878.724666,31523,31523,157615,1.514,2.284,2.745,0.384,247.323,0,43,314
4,4,4,local,16,8,16,0.2,152354,0,1.677,-1.0,9542.708025,30673,30673,153365,1.521,2.286,2.724,0.377,317.646,0,84,470
8,8,8,local,16,8,16,0.2,142567,0,1.791,-1.0,8931.27752,28638,28638,143190,1.607,2.414,2.964,0.452,410.486,0,154,544
0,0,0,on,16,8,16,0.2,176028,0,1.451,-1.0,11027.354138,35408,35408,177040,1.415,2.113,2.527,0.429,13.555,0,0,0
1,1,1,on,16,8,16,0.2,153375,0,1.666,-1.0,9606.365436,30914,30914,154570,1.471,2.309,3.757,0.487,164.15,0,22,161
2,2,2,on,16,8,16,0.2,128411,0,1.992,-1.0,8033.631255,25941,25941,129705,1.525,2.779,19.885,0.38,308.686,0,43,281
4,4,4,on,16,8,16,0.2,106728,0,2.393,-1.0,6686.393139,21193,21193,105965,1.564,3.309,33.469,0.507,317.397,0,86,403
8,8,8,on,16,8,16,0.2,63820,0,4.098,-1.0,3904.528586,12954,12954,64770,1.74,14.721,47.967,0.394,561.857,0,158,478
0,0,0,remote_write,16,8,16,0.2,175344,0,1.456,-1.0,10985.446777,34995,34995,174975,1.374,2.081,2.639,0.396,27.799,0,0,0
1,1,1,remote_write,16,8,16,0.2,158135,0,1.615,-1.0,9907.339576,31598,31598,157990,1.471,2.264,3.05,0.466,147.225,0,21,165
2,2,2,remote_write,16,8,16,0.2,128290,0,1.991,-1.0,8035.416715,25612,25612,128060,1.53,2.78,20.386,0.457,225.685,0,43,274
4,4,4,remote_write,16,8,16,0.2,99007,0,2.58,-1.0,6202.463281,19941,19941,99705,1.571,3.835,34.689,0.472,391.05,0,85,406
8,8,8,remote_write,16,8,16,0.2,77146,0,3.311,-1.0,4833.00885,15601,15601,78005,1.706,7.254,38.703,0.53,479.636,0,160,477
0,0,0,remote_apply,16,8,16,0.2,175989,0,1.451,-1.0,11024.676146,35163,35163,175815,1.365,2.064,2.604,0.509,47.886,0,0,0
1,1,1,remote_apply,16,8,16,0.2,139921,0,1.826,-1.0,8764.138195,28123,28123,140615,1.487,2.509,8.544,0.478,182.957,0,21,158
2,2,2,remote_apply,16,8,16,0.2,112157,0,2.277,-1.0,7026.640425,22583,22583,112915,1.623,3.702,21.422,0.434,224.922,0,44,262
4,4,4,remote_apply,16,8,16,0.2,75934,0,3.363,-1.0,4757.34019,15150,15150,75750,1.753,7.535,33.052,0.504,457.802,0,84,375
8,8,8,remote_apply,16,8,16,0.2,57455,0,4.446,-1.0,3598.88902,11438,11438,57190,1.772,10.93,59.816,0.55,442.775,0,160,451
