mode,clients,threads,duration_s,sampling_rate,transactions_processed,failed_transactions,latency_avg_ms,latency_stddev_ms,throughput_tps,sampled_transactions,total_log_lines,estimated_total_transactions,p50_ms,p95_ms,p99_ms,min_ms,max_ms,non_numeric_log_entries
off,1,1,12,0.05,4499,0,2.664,-1.0,375.357743,251,251,5020,2.567,3.386,4.316,1.906,4.971,0
off,2,2,12,0.05,8607,0,2.785,-1.0,718.089566,449,449,8980,2.642,4.363,6.906,1.472,42.086,0
off,3,3,12,0.05,12085,0,2.976,-1.0,1008.230363,597,597,11940,2.82,4.224,4.993,1.91,8.985,0
off,4,4,12,0.05,13179,0,3.638,-1.0,1099.455186,690,690,13800,3.413,5.148,6.248,2.017,18.05,0
off,5,5,12,0.05,13695,0,4.376,-1.0,1142.515336,706,706,14120,4.085,6.315,7.485,2.099,23.632,0
off,6,6,12,0.05,8971,0,8.02,-1.0,748.094282,427,427,8540,6.759,15.3,26.222,2.092,47.671,0
off,7,7,12,0.05,4744,0,17.712,-1.0,395.22007,238,238,4760,12.09,43.445,71.871,3.607,91.681,0
off,8,8,12,0.05,4930,0,19.476,-1.0,410.752312,245,245,4900,11.687,53.071,91.402,3.27,153.19,0
off,9,9,12,0.05,5147,0,20.99,-1.0,428.777421,289,289,5780,12.278,67.359,109.938,3.359,237.037,0
off,10,10,12,0.05,5143,0,23.345,-1.0,428.359801,246,246,4920,12.406,79.66,134.897,2.494,259.872,0
off,11,11,12,0.05,4841,0,27.296,-1.0,402.995805,238,238,4760,12.493,103.625,122.705,3.284,385.89,0
off,12,12,12,0.05,4525,0,31.858,-1.0,376.672415,226,226,4520,16.845,98.837,138.087,4.205,166.643,0
off,13,13,12,0.05,4427,0,35.323,-1.0,368.03409,236,236,4720,23.274,138.83,239.135,4.006,298.869,0
off,14,14,12,0.05,4187,0,40.182,-1.0,348.417703,206,206,4120,21.768,126.533,186.071,4.376,200.988,0
off,15,15,12,0.05,3857,0,46.751,-1.0,320.8509,182,182,3640,25.587,157.423,349.339,4.024,394.171,0
off,16,16,12,0.05,4139,0,46.55,-1.0,343.719349,208,208,4160,21.805,181.615,236.673,5.164,502.39,0
off,17,17,12,0.05,4273,0,47.85,-1.0,355.277741,211,211,4220,18.921,179.914,248.225,3.109,518.228,0
off,18,18,12,0.05,4156,0,52.114,-1.0,345.398656,206,206,4120,27.604,213.98,332.483,3.914,439.072,0
off,19,19,12,0.05,4047,0,56.451,-1.0,336.572843,193,193,3860,25.608,173.041,539.715,3.466,695.229,0
off,20,20,12,0.05,4086,0,58.919,-1.0,339.4465,200,200,4000,33.373,186.037,279.874,2.688,554.791,0
off,21,21,12,0.05,4303,0,58.713,-1.0,357.670796,205,205,4100,24.136,270.172,377.053,3.231,470.124,0
off,22,22,12,0.05,4103,0,64.542,-1.0,340.862181,196,196,3920,31.237,248.987,344.155,4.864,344.265,0
off,23,23,12,0.05,4007,0,69.117,-1.0,332.769472,191,191,3820,35.213,266.483,584.25,3.689,797.15,0
off,24,24,12,0.05,4043,0,71.498,-1.0,335.672524,198,198,3960,33.414,234.862,972.503,5.566,1008.422,0
off,25,25,12,0.05,4139,0,72.746,-1.0,343.662413,223,223,4460,30.74,336.365,495.198,4.105,704.443,0
off,26,26,12,0.05,4012,0,78.103,-1.0,332.892823,202,202,4040,37.339,218.271,581.412,2.969,827.279,0
off,27,27,12,0.05,4004,0,81.219,-1.0,332.434581,213,213,4260,39.067,360.055,655.017,4.581,1193.258,0
off,28,28,12,0.05,3975,0,84.818,-1.0,330.116819,209,209,4180,27.612,286.237,703.256,3.485,859.834,0
off,29,29,12,0.05,4007,0,87.274,-1.0,332.287186,185,185,3700,40.22,280.632,388.338,4.953,513.009,0
off,30,30,12,0.05,3907,0,92.559,-1.0,324.118695,193,193,3860,37.52,438.784,598.125,3.428,872.82,0
off,31,31,12,0.05,3957,0,94.36,-1.0,328.530713,195,195,3900,60.333,315.76,842.258,3.233,1525.43,0
off,32,32,12,0.05,3911,0,98.527,-1.0,324.783551,194,194,3880,42.316,255.94,614.922,4.781,722.918,0
local,1,1,12,0.05,9953,0,1.204,-1.0,830.378245,494,494,9880,1.19,1.328,1.521,0.901,4.718,0
local,2,2,12,0.05,19115,0,1.254,-1.0,1594.937585,945,945,18900,1.228,1.368,1.591,0.966,3.968,0
local,3,3,12,0.05,26422,0,1.361,-1.0,2204.695027,1293,1293,25860,1.303,1.67,2.245,0.855,3.848,0
local,4,4,12,0.05,28165,0,1.702,-1.0,2350.12714,1417,1417,28340,1.675,2.174,2.582,1.037,5.952,0
local,5,5,12,0.05,27450,0,2.183,-1.0,2290.352634,1388,1388,27760,2.103,3.004,3.475,1.059,7.338,0
local,6,6,12,0.05,27101,0,2.653,-1.0,2261.232844,1378,1378,27560,2.372,4.207,5.301,1.13,19.795,0
local,7,7,12,0.05,25745,0,3.258,-1.0,2148.228519,1234,1234,24680,2.891,5.818,7.828,1.085,26.491,0
local,8,8,12,0.05,18236,0,5.258,-1.0,1521.563549,914,914,18280,4.143,10.562,17.569,1.213,55.218,0
local,9,9,12,0.05,5153,0,20.972,-1.0,429.149485,262,262,5240,11.678,59.641,102.804,2.136,131.765,0
local,10,10,12,0.05,4235,0,28.36,-1.0,352.60376,231,231,4620,16.59,84.529,156.036,2.093,190.829,0
local,11,11,12,0.05,4023,0,32.854,-1.0,334.810756,193,193,3860,17.135,93.887,175.145,3.811,270.936,0
local,12,12,12,0.05,4559,0,31.64,-1.0,379.269222,247,247,4940,13.285,89.652,198.233,2.177,216.665,0
local,13,13,12,0.05,4003,0,39.033,-1.0,333.049483,204,204,4080,21.419,106.984,151.472,4.526,178.002,0
local,14,14,12,0.05,4274,0,39.376,-1.0,355.549255,244,244,4880,15.736,145.689,263.839,2.593,360.295,0
local,15,15,12,0.05,3807,0,47.412,-1.0,316.376011,184,184,3680,29.683,165.427,285.826,3.897,456.247,0
local,16,16,12,0.05,4165,0,46.184,-1.0,346.442357,220,220,4400,21.752,138.75,275.319,2.008,282.416,0
local,17,17,12,0.05,3988,0,51.295,-1.0,331.416662,203,203,4060,18.992,142.989,307.876,1.786,671.911,0
local,18,18,12,0.05,3814,0,56.79,-1.0,316.958422,211,211,4220,33.111,221.766,394.357,4.2,563.484,0
local,19,19,12,0.05,3953,0,57.812,-1.0,328.65408,171,171,3420,26.867,127.305,222.78,2.818,226.228,0
local,20,20,12,0.05,3661,0,65.818,-1.0,303.866147,160,160,3200,33.837,222.442,343.352,4.714,592.071,0
local,21,21,12,0.05,3805,0,66.464,-1.0,315.958783,194,194,3880,43.385,274.254,573.626,5.968,709.694,0
local,22,22,12,0.05,3822,0,69.306,-1.0,317.432158,197,197,3940,38.588,265.04,634.189,3.366,928.46,0
