mode,clients,threads,duration_s,sampling_rate,transactions_processed,failed_transactions,latency_avg_ms,latency_stddev_ms,throughput_tps,sampled_transactions,total_log_lines,estimated_total_transactions,p50_ms,p95_ms,p99_ms,min_ms,max_ms,non_numeric_log_entries
off,1,1,12,0.05,5154,0,2.326,-1.0,430.012718,265,265,5300,2.256,2.985,3.577,1.716,4.581,0
off,2,2,12,0.05,10728,0,2.235,-1.0,895.002328,577,577,11540,2.19,2.726,3.136,1.369,7.646,0
off,3,3,12,0.05,16491,0,2.18,-1.0,1375.964452,824,824,16480,2.139,2.66,3.02,0.964,4.955,0
off,4,4,12,0.05,20871,0,2.297,-1.0,1741.541724,1090,1090,21800,2.205,2.955,3.369,1.316,18.639,0
off,5,5,12,0.05,25444,0,2.355,-1.0,2123.315353,1221,1221,24420,2.28,3.064,3.881,1.112,6.691,0
off,6,6,12,0.05,28198,0,2.55,-1.0,2353.318009,1428,1428,28560,2.469,3.253,3.724,1.068,6.282,0
off,7,7,12,0.05,31681,0,2.647,-1.0,2644.050511,1625,1625,32500,2.565,3.294,4.114,1.172,31.46,0
off,8,8,12,0.05,33275,0,2.88,-1.0,2777.610597,1654,1654,33080,2.793,3.595,4.14,1.45,6.088,0
off,9,8,12,0.05,34567,0,3.116,-1.0,2888.155596,1755,1755,35100,2.995,4.102,4.823,1.572,64.048,0
off,10,8,12,0.05,35923,0,3.332,-1.0,3001.46493,1738,1738,34760,3.214,4.212,4.941,1.73,27.266,0
off,11,8,12,0.05,36286,0,3.627,-1.0,3032.899681,1825,1825,36500,3.52,4.595,5.32,1.697,26.325,0
off,12,8,12,0.05,36140,0,3.974,-1.0,3019.851723,1803,1803,36060,3.858,5.178,5.915,2.018,8.383,0
off,13,8,12,0.05,35917,0,4.331,-1.0,3001.652802,1816,1816,36320,4.193,5.533,6.396,2.308,29.902,0
off,14,8,12,0.05,35893,0,4.667,-1.0,2999.595185,1787,1787,35740,4.523,6.176,7.303,2.232,36.016,0
off,15,8,12,0.05,35609,0,5.04,-1.0,2975.985521,1786,1786,35720,4.874,6.388,7.766,2.608,64.94,0
off,16,8,12,0.05,35771,0,5.351,-1.0,2989.918564,1789,1789,35780,5.142,6.892,8.117,2.586,24.912,0
off,17,8,12,0.05,34786,0,5.843,-1.0,2909.229951,1772,1772,35440,5.6,7.689,9.228,3.192,37.123,0
off,18,8,12,0.05,34638,0,6.213,-1.0,2897.011807,1764,1764,35280,5.976,8.247,9.698,3.079,25.055,0
off,19,8,12,0.05,34622,0,6.559,-1.0,2897.00237,1716,1716,34320,6.34,8.747,10.216,3.25,67.738,0
off,20,8,12,0.05,34522,0,6.924,-1.0,2888.296259,1733,1733,34660,6.712,9.288,11.432,3.484,46.334,0
off,21,8,12,0.05,33999,0,7.383,-1.0,2844.391243,1673,1673,33460,7.15,9.954,12.213,2.874,32.342,0
off,22,8,12,0.05,34177,0,7.693,-1.0,2859.915279,1610,1610,32200,7.362,10.24,12.185,3.863,74.472,0
off,23,8,12,0.05,33900,0,8.111,-1.0,2835.800145,1768,1768,35360,7.824,11.093,13.077,4.266,66.347,0
off,24,8,12,0.05,33610,0,8.535,-1.0,2812.097424,1686,1686,33720,8.217,11.514,13.664,4.374,36.625,0
off,25,8,12,0.05,33243,0,8.978,-1.0,2784.589242,1733,1733,34660,8.664,12.182,14.227,3.531,73.155,0
off,26,8,12,0.05,33246,0,9.337,-1.0,2784.708278,1633,1633,32660,8.967,12.409,14.641,4.254,66.336,0
off,27,8,12,0.05,33047,0,9.754,-1.0,2768.135425,1579,1579,31580,9.305,13.396,16.394,4.257,74.818,0
off,28,8,12,0.05,32963,0,10.138,-1.0,2761.909462,1597,1597,31940,9.685,14.056,17.288,4.303,73.687,0
off,29,8,12,0.05,32818,0,10.552,-1.0,2748.384472,1567,1567,31340,10.135,14.018,16.619,3.264,72.856,0
off,30,8,12,0.05,32418,0,11.051,-1.0,2714.784345,1668,1668,33360,10.643,15.043,18.957,4.051,86.94,0
off,31,8,12,0.05,32569,0,11.365,-1.0,2727.607036,1601,1601,32020,10.871,15.527,19.793,5.938,76.376,0
off,32,8,12,0.05,32100,0,11.901,-1.0,2688.820312,1605,1605,32100,11.325,15.78,20.087,6.424,55.76,0
local,1,1,12,0.05,10350,0,1.158,-1.0,863.492008,509,509,10180,1.154,1.304,1.549,0.883,64.489,0
local,2,2,12,0.05,20101,0,1.193,-1.0,1677.139646,994,994,19880,1.182,1.376,2.381,0.863,5.195,0
local,3,3,12,0.05,29470,0,1.22,-1.0,2459.072547,1591,1591,31820,1.201,1.427,2.175,0.835,62.82,0
local,4,4,12,0.05,38484,0,1.245,-1.0,3211.610535,1866,1866,37320,1.234,1.554,2.203,0.785,17.79,0
local,5,5,12,0.05,45366,0,1.321,-1.0,3786.165049,2275,2275,45500,1.3,1.573,1.947,0.882,20.12,0
local,6,6,12,0.05,52126,0,1.379,-1.0,4350.802594,2686,2686,53720,1.331,1.719,2.069,0.834,17.407,0
local,7,7,12,0.05,59467,0,1.41,-1.0,4963.804635,2977,2977,59540,1.361,1.731,2.162,0.892,18.874,0
local,8,8,12,0.05,65873,0,1.455,-1.0,5499.329208,3216,3216,64320,1.396,1.831,2.236,0.911,24.988,0
local,9,8,12,0.05,71392,0,1.509,-1.0,5964.014251,3560,3560,71200,1.451,1.854,2.648,0.918,40.762,0
local,10,8,12,0.05,74782,0,1.6,-1.0,6250.15462,3741,3741,74820,1.533,2.009,2.898,0.954,59.851,0
local,11,8,12,0.05,79086,0,1.664,-1.0,6608.908012,4039,4039,80780,1.593,2.147,2.872,0.996,23.498,0
local,12,8,12,0.05,81700,0,1.757,-1.0,6828.7142,4080,4080,81600,1.668,2.216,2.944,1.006,60.497,0
local,13,8,12,0.05,85000,0,1.83,-1.0,7105.292239,4178,4178,83560,1.735,2.324,3.11,1.022,27.346,0
local,14,8,12,0.05,87019,0,1.925,-1.0,7274.248072,4293,4293,85860,1.827,2.45,3.433,1.081,32.207,0
local,15,8,12,0.05,87437,0,2.052,-1.0,7308.90556,4382,4382,87640,1.943,2.679,3.93,1.165,68.332,0
local,16,8,12,0.05,87996,0,2.175,-1.0,7355.041835,4372,4372,87440,2.065,2.815,4.063,1.097,29.011,0
local,17,8,12,0.05,88140,0,2.306,-1.0,7371.784766,4374,4374,87480,2.175,3.023,4.339,1.106,64.917,0
local,18,8,12,0.05,88304,0,2.437,-1.0,7387.490191,4464,4464,89280,2.297,3.176,4.231,1.133,41.411,0
local,19,8,12,0.05,89743,0,2.529,-1.0,7511.766562,4506,4506,90120,2.397,3.35,4.542,1.198,70.763,0
local,20,8,12,0.05,88300,0,2.706,-1.0,7391.700083,4452,4452,89040,2.549,3.614,5.089,1.312,68.035,0
local,21,8,12,0.05,87996,0,2.851,-1.0,7365.825803,4300,4300,86000,2.662,3.748,5.463,1.373,44.81,0
local,22,8,12,0.05,87513,0,3.004,-1.0,7324.242411,4320,4320,86400,2.818,4.073,6.275,1.4,73.132,0
local,23,8,12,0.05,87607,0,3.137,-1.0,7331.365906,4411,4411,88220,2.947,4.19,6.402,1.094,61.966,0
local,24,8,12,0.05,87581,0,3.274,-1.0,7329.710254,4396,4396,87920,3.098,4.491,5.976,1.639,33.242,0
local,25,8,12,0.05,86500,0,3.451,-1.0,7243.412577,4277,4277,85540,3.235,4.755,8.764,1.557,61.002,0
local,26,8,12,0.05,86536,0,3.585,-1.0,7251.794114,4426,4426,88520,3.348,4.961,7.961,1.278,44.372,0
local,27,8,12,0.05,84635,0,3.807,-1.0,7091.660179,4239,4239,84780,3.521,5.367,10.011,1.696,42.162,0
local,28,8,12,0.05,85104,0,3.926,-1.0,7131.194232,4336,4336,86720,3.667,5.568,9.992,1.663,83.789,0
local,29,8,12,0.05,84127,0,4.113,-1.0,7050.471966,4308,4308,86160,3.771,5.992,10.464,1.775,72.75,0
local,30,8,12,0.05,83017,0,4.313,-1.0,6956.453391,4215,4215,84300,3.962,6.542,11.098,1.639,74.524,0
local,31,8,12,0.05,70880,0,5.224,-1.0,5934.582448,3514,3514,70280,4.257,10.947,17.212,1.833,90.738,0
local,32,8,12,0.05,67232,0,5.682,-1.0,5631.826858,3384,3384,67680,4.52,12.112,25.328,1.577,56.406,0
on,1,1,12,0.05,3500,0,4.476,-1.0,223.391874,157,157,3140,1.615,2.228,3.3,0.944,4.083,0
on,2,2,12,0.05,13572,0,1.911,-1.0,1046.826351,670,670,13400,1.486,1.828,2.579,0.902,8.166,0
on,3,3,12,0.05,23301,0,1.543,-1.0,1943.812547,1144,1144,22880,1.556,1.846,2.247,0.977,3.181,0
on,4,4,12,0.05,29843,0,1.606,-1.0,2490.345457,1500,1500,30000,1.601,1.933,2.484,0.985,5.636,0
on,5,5,12,0.05,35959,0,1.666,-1.0,3000.888859,1791,1791,35820,1.638,2.045,2.841,0.905,104.719,0
on,6,6,12,0.05,41268,0,1.742,-1.0,3444.564982,2007,2007,40140,1.701,2.189,2.84,1.01,43.533,0
on,7,7,12,0.05,48661,0,1.723,-1.0,4061.738831,2391,2391,47820,1.71,2.188,2.929,1.016,46.29,0
on,8,8,12,0.05,51639,0,1.856,-1.0,4310.779495,2517,2517,50340,1.807,2.391,3.139,1.027,57.712,0
on,9,8,12,0.05,57139,0,1.886,-1.0,4772.321454,2805,2805,56100,1.842,2.496,3.211,1.059,61.125,0
on,10,8,12,0.05,59465,0,2.012,-1.0,4969.555881,3001,3001,60020,1.899,2.658,3.623,1.048,61.929,0
on,11,8,12,0.05,65048,0,2.023,-1.0,5436.663142,3174,3174,63480,1.937,2.7,3.401,1.05,62.611,0
on,12,8,12,0.05,67968,0,2.112,-1.0,5680.7853,3323,3323,66460,2.008,2.841,3.566,1.083,62.951,0
on,13,8,12,0.05,71235,0,2.183,-1.0,5953.994392,3519,3519,70380,2.061,3.038,4.077,1.117,66.605,0
on,14,8,12,0.05,74359,0,2.252,-1.0,6215.511119,3659,3659,73180,2.111,3.098,4.099,1.146,69.725,0
on,15,8,12,0.05,76690,0,2.34,-1.0,6410.650792,3761,3761,75220,2.182,3.2,4.624,1.176,63.715,0
on,16,8,12,0.05,78668,0,2.433,-1.0,6575.537393,3983,3983,79660,2.267,3.36,4.42,1.222,65.312,0
on,17,8,12,0.05,81327,0,2.499,-1.0,6802.202747,4122,4122,82440,2.337,3.462,4.526,1.174,67.699,0
on,18,8,12,0.05,82240,0,2.616,-1.0,6879.759637,4108,4108,82160,2.426,3.631,4.883,0.98,70.562,0
on,19,8,12,0.05,82618,0,2.747,-1.0,6915.865977,4153,4153,83060,2.531,3.84,5.5,1.286,68.477,0
on,20,8,12,0.05,84452,0,2.829,-1.0,7069.169241,4249,4249,84980,2.615,3.929,5.527,1.299,70.809,0
on,21,8,12,0.05,84586,0,2.967,-1.0,7078.878453,4169,4169,83380,2.735,4.083,5.67,1.35,65.438,0
on,22,8,12,0.05,84322,0,3.117,-1.0,7057.29438,4185,4185,83700,2.847,4.372,6.704,1.38,66.912,0
on,23,8,12,0.05,85103,0,3.229,-1.0,7122.386831,4223,4223,84460,2.968,4.653,6.563,1.402,69.705,0
on,24,8,12,0.05,84334,0,3.401,-1.0,7057.690895,4220,4220,84400,3.093,4.837,8.336,1.048,73.838,0
on,25,8,12,0.05,84225,0,3.542,-1.0,7057.256745,4287,4287,85740,3.183,5.01,7.969,1.35,77.839,0
on,26,8,12,0.05,83711,0,3.708,-1.0,7011.53644,4104,4104,82080,3.349,5.244,8.394,1.366,67.884,0
on,27,8,12,0.05,82915,0,3.886,-1.0,6947.675702,4153,4153,83060,3.441,5.591,9.395,1.641,77.075,0
on,28,8,12,0.05,82631,0,4.045,-1.0,6922.953313,4161,4161,83220,3.645,5.993,9.233,1.377,75.606,0
on,29,8,12,0.05,79249,0,4.38,-1.0,6621.716412,3955,3955,79100,3.811,7.026,11.454,1.702,73.046,0
on,30,8,12,0.05,80614,0,4.443,-1.0,6752.507459,4056,4056,81120,3.905,7.036,12.75,1.619,83.55,0
on,31,8,12,0.05,80578,0,4.591,-1.0,6751.802264,4021,4021,80420,4.035,7.111,12.265,1.876,99.571,0
on,32,8,12,0.05,74422,0,5.132,-1.0,6235.239147,3749,3749,74980,4.301,10.319,15.959,1.786,79.484,0
remote_write,1,1,12,0.05,780,0,27.052,-1.0,36.966145,40,40,800,1.603,2.109,2.218,1.089,2.218,0
remote_write,2,2,12,0.05,6394,0,3.749,-1.0,533.493576,330,330,6600,1.409,2.219,3.443,0.891,40.989,0
remote_write,3,3,12,0.05,24646,0,1.459,-1.0,2056.61336,1265,1265,25300,1.457,1.816,2.506,0.905,13.173,0
remote_write,4,4,12,0.05,31364,0,1.528,-1.0,2617.163633,1561,1561,31220,1.5,1.854,2.126,0.889,3.34,0
remote_write,5,5,12,0.05,37777,0,1.586,-1.0,3152.53024,1970,1970,39400,1.572,1.939,2.791,0.928,46.566,0
remote_write,6,6,12,0.05,43997,0,1.634,-1.0,3671.873989,2138,2138,42760,1.616,2.06,2.542,0.979,5.117,0
remote_write,7,7,12,0.05,48284,0,1.737,-1.0,4030.383637,2390,2390,47800,1.685,2.165,2.835,0.958,46.315,0
remote_write,8,8,12,0.05,54063,0,1.773,-1.0,4513.19209,2692,2692,53840,1.716,2.266,3.0,0.956,41.461,0
remote_write,9,8,12,0.05,58274,0,1.848,-1.0,4870.271785,2851,2851,57020,1.802,2.444,3.118,1.014,68.282,0
remote_write,10,8,12,0.05,62904,0,1.902,-1.0,5257.134853,3093,3093,61860,1.82,2.527,3.322,1.014,65.837,0
remote_write,11,8,12,0.05,67041,0,1.963,-1.0,5603.06847,3355,3355,67100,1.879,2.638,3.591,1.088,64.701,0
remote_write,12,8,12,0.05,68178,0,2.106,-1.0,5698.149042,3364,3364,67280,1.961,2.776,3.675,1.012,69.094,0
remote_write,13,8,12,0.05,74499,0,2.088,-1.0,6226.935477,3684,3684,73680,1.977,2.751,3.516,1.166,67.255,0
remote_write,14,8,12,0.05,75179,0,2.228,-1.0,6283.329965,3652,3652,73040,2.088,2.972,3.794,1.141,71.104,0
remote_write,15,8,12,0.05,77817,0,2.306,-1.0,6504.230169,3906,3906,78120,2.17,3.089,4.236,1.164,68.456,0
remote_write,16,8,12,0.05,80903,0,2.366,-1.0,6762.245102,4061,4061,81220,2.217,3.176,4.539,1.158,66.856,0
remote_write,17,8,12,0.05,81802,0,2.485,-1.0,6840.38249,4105,4105,82100,2.303,3.426,4.737,1.247,68.023,0
remote_write,18,8,12,0.05,82589,0,2.604,-1.0,6911.245777,4082,4082,81640,2.411,3.567,4.561,1.098,70.157,0
remote_write,19,8,12,0.05,83793,0,2.709,-1.0,7012.44889,4130,4130,82600,2.497,3.706,4.835,1.312,69.827,0
