mode,clients,threads,duration_s,sampling_rate,transactions_processed,failed_transactions,latency_avg_ms,latency_stddev_ms,throughput_tps,sampled_transactions,total_log_lines,estimated_total_transactions,p50_ms,p95_ms,p99_ms,min_ms,max_ms,non_numeric_log_entries
off,1,1,12,0.05,25451,0,0.471,-1.0,2123.422128,1273,1273,25460,0.468,0.494,0.579,0.296,7.66,0
off,2,2,12,0.05,51010,0,0.47,-1.0,4256.303393,2549,2549,50980,0.466,0.505,0.616,0.33,5.932,0
off,3,3,12,0.05,43064,0,0.835,-1.0,3593.358995,2083,2083,41660,0.84,0.964,1.046,0.406,23.677,0
off,4,4,12,0.05,44978,0,1.066,-1.0,3753.350356,2320,2320,46400,1.061,1.231,1.413,0.426,2.102,0
off,5,5,12,0.05,45539,0,1.316,-1.0,3800.46376,2314,2314,46280,1.298,1.573,1.723,0.413,2.6,0
off,6,6,12,0.05,44900,0,1.601,-1.0,3747.383925,2145,2145,42900,1.588,1.962,2.143,0.676,3.031,0
off,7,7,12,0.05,45431,0,1.846,-1.0,3792.396292,2338,2338,46760,1.816,2.282,2.561,0.846,7.04,0
off,8,8,12,0.05,43940,0,2.181,-1.0,3667.967011,2196,2196,43920,2.156,2.766,2.996,1.039,27.742,0
off,9,8,12,0.05,45278,0,2.379,-1.0,3783.489287,2227,2227,44540,2.356,2.996,3.386,1.088,3.942,0
off,10,8,12,0.05,45072,0,2.655,-1.0,3766.874338,2316,2316,46320,2.627,3.395,3.86,0.786,4.651,0
off,11,8,12,0.05,44559,0,2.954,-1.0,3724.095808,2174,2174,43480,2.898,3.878,4.462,1.371,4.979,0
off,12,8,12,0.05,45293,0,3.17,-1.0,3785.39083,2281,2281,45620,3.114,4.042,4.618,1.366,15.913,0
off,13,8,12,0.05,44407,0,3.503,-1.0,3711.326386,2241,2241,44820,3.45,4.562,5.233,1.688,13.271,0
off,14,8,12,0.05,44592,0,3.756,-1.0,3726.934827,2201,2201,44020,3.659,4.934,5.815,1.306,20.533,0
off,15,8,12,0.05,44345,0,4.047,-1.0,3706.32407,2225,2225,44500,3.997,5.424,6.143,1.555,15.268,0
off,16,8,12,0.05,43364,0,4.415,-1.0,3624.205554,2178,2178,43560,4.343,5.79,6.673,1.855,12.056,0
off,17,8,12,0.05,39285,0,5.173,-1.0,3286.538469,1971,1971,39420,4.58,6.822,20.607,1.546,36.668,0
