mode,clients,threads,duration_s,sampling_rate,transactions_processed,failed_transactions,latency_avg_ms,latency_stddev_ms,throughput_tps,sampled_transactions,total_log_lines,estimated_total_transactions,p50_ms,p95_ms,p99_ms,min_ms,max_ms,non_numeric_log_entries
off,1,1,5,1.0,1666,0,2.993,-1.0,334.157093,1666,1666,1666,2.912,3.948,4.761,1.927,58.819,0
off,2,2,5,1.0,3538,0,2.819,-1.0,709.522807,3538,3538,3538,2.669,3.806,5.089,0.967,65.527,0
off,3,3,5,1.0,5219,0,2.866,-1.0,1046.792151,5219,5219,5219,2.711,3.777,4.849,1.858,62.39,0
off,4,4,5,1.0,3962,0,5.036,-1.0,794.347741,3962,3962,3962,4.667,7.834,10.253,1.84,73.199,0
off,5,5,5,1.0,4129,0,6.039,-1.0,827.958156,4129,4129,4129,5.454,10.018,14.238,2.013,83.895,0
off,6,6,5,1.0,2231,0,13.432,-1.0,446.697353,2231,2231,2231,10.243,31.922,48.746,2.957,95.073,0
off,7,7,5,1.0,2053,0,17.038,-1.0,410.85399,2053,2053,2053,11.948,44.797,66.928,2.797,105.317,0
off,8,8,5,1.0,1864,0,21.482,-1.0,372.405697,1864,1864,1864,14.349,58.632,85.282,2.634,116.162,0
off,9,9,5,1.0,1991,0,22.609,-1.0,398.077551,1991,1991,1991,13.105,68.0,107.688,2.208,203.635,0
off,10,10,5,1.0,1719,0,29.173,-1.0,342.786996,1719,1719,1719,17.002,86.002,140.575,2.59,321.679,0
off,11,11,5,1.0,1748,0,31.516,-1.0,349.031567,1748,1748,1748,18.033,97.52,149.988,3.265,268.628,0
off,12,12,5,1.0,1572,0,38.300,-1.0,313.316614,1572,1572,1572,24.093,108.916,175.406,3.876,296.904,0
off,13,13,5,1.0,1632,0,40.072,-1.0,324.414776,1632,1632,1632,24.329,118.381,179.614,3.102,403.836,0
off,14,14,5,1.0,1662,0,42.270,-1.0,331.204418,1662,1662,1662,22.546,129.004,233.894,2.687,544.19,0
off,15,15,5,1.0,1632,0,46.154,-1.0,324.997829,1632,1632,1632,25.681,140.096,235.928,3.645,542.106,0
off,16,16,5,1.0,1589,0,50.597,-1.0,316.225136,1589,1589,1589,29.807,151.892,291.955,3.321,699.783,0
off,17,17,5,1.0,1587,0,53.890,-1.0,315.458354,1587,1587,1587,31.655,167.875,267.363,3.466,442.055,0
off,18,18,5,1.0,1598,0,56.569,-1.0,318.197323,1598,1598,1598,30.449,170.765,292.565,3.692,480.453,0
off,19,19,5,1.0,1558,0,61.448,-1.0,309.203426,1558,1558,1558,36.606,197.983,358.592,3.198,525.809,0
off,20,20,5,1.0,1665,0,60.530,-1.0,330.415883,1665,1665,1665,28.281,211.027,437.668,3.101,877.966,0
off,21,21,5,1.0,1595,0,66.387,-1.0,316.326535,1595,1595,1595,31.758,231.685,475.967,3.86,846.748,0
off,22,22,5,1.0,1588,0,69.835,-1.0,315.029235,1588,1588,1588,35.563,231.972,486.534,3.453,819.878,0
off,23,23,5,1.0,1626,0,71.321,-1.0,322.485766,1626,1626,1626,33.627,259.3,522.062,2.486,1022.766,0
off,24,24,5,1.0,1594,0,75.825,-1.0,316.519163,1594,1594,1594,34.44,288.377,545.215,3.472,1156.887,0
off,25,25,5,1.0,1584,0,79.784,-1.0,313.346359,1584,1584,1584,44.353,257.481,518.78,2.796,858.152,0
off,26,26,5,1.0,1610,0,81.672,-1.0,318.345395,1610,1610,1610,38.398,299.353,568.169,3.257,1063.41,0
off,27,27,5,1.0,1641,0,83.310,-1.0,324.091364,1641,1641,1641,39.335,280.845,588.8,3.754,1782.367,0
off,28,28,5,1.0,1635,0,86.250,-1.0,324.636774,1635,1635,1635,45.392,308.62,540.694,2.573,1114.958,0
off,29,29,5,1.0,1555,0,94.118,-1.0,308.123666,1555,1555,1555,63.475,293.378,524.401,3.311,1066.853,0
off,30,30,5,1.0,1636,0,92.572,-1.0,324.073469,1636,1636,1636,40.389,340.067,640.252,3.727,1313.923,0
off,31,31,5,1.0,1631,0,95.891,-1.0,323.283786,1631,1631,1631,44.38,344.675,705.066,2.599,1783.342,0
off,32,32,5,1.0,1602,0,100.591,-1.0,318.12035,1602,1602,1602,54.037,331.11,602.091,2.744,1548.993,0
local,1,1,5,1.0,4222,0,1.181,-1.0,846.738862,4222,4222,4222,1.155,1.302,1.463,0.777,59.84,0
local,2,2,5,1.0,7719,0,1.292,-1.0,1548.208058,7719,7719,7719,1.242,1.452,1.918,0.918,64.157,0
local,3,3,5,1.0,10617,0,1.408,-1.0,2130.094461,10617,10617,10617,1.324,1.7,2.447,0.942,70.333,0
local,4,4,5,1.0,10424,0,1.912,-1.0,2091.508723,10424,10424,10424,1.757,2.585,3.787,0.97,91.381,0
local,5,5,5,1.0,8964,0,2.780,-1.0,1798.876605,8964,8964,8964,2.566,4.229,5.783,0.994,66.903,0
local,6,6,5,1.0,2292,0,13.078,-1.0,458.795023,2292,2292,2292,9.956,32.031,48.569,1.05,89.396,0
local,7,7,5,1.0,2222,0,15.744,-1.0,444.625959,2222,2222,2222,10.861,43.039,64.193,1.539,128.607,0
local,8,8,5,1.0,1917,0,20.852,-1.0,383.652981,1917,1917,1917,13.541,60.75,84.008,1.654,122.607,0
local,9,9,5,1.0,1755,0,25.674,-1.0,350.542402,1755,1755,1755,15.651,75.846,107.519,2.371,160.887,0
local,10,10,5,1.0,1813,0,27.620,-1.0,362.051998,1813,1813,1813,15.236,91.501,142.838,1.645,302.253,0
local,11,11,5,1.0,1627,0,33.886,-1.0,324.618384,1627,1627,1627,19.797,103.139,172.448,2.102,282.978,0
local,12,12,5,1.0,1601,0,37.602,-1.0,319.132565,1601,1601,1601,22.538,116.127,186.494,2.457,378.033,0
local,13,13,5,1.0,1628,0,40.077,-1.0,324.377486,1628,1628,1628,23.914,122.176,189.68,3.0,383.555,0
local,14,14,5,1.0,1678,0,41.882,-1.0,334.268542,1678,1678,1678,21.056,136.503,259.434,1.054,598.607,0
local,15,15,5,1.0,1561,0,48.253,-1.0,310.862483,1561,1561,1561,26.46,153.852,249.783,1.714,489.544,0
local,16,16,5,1.0,1507,0,53.347,-1.0,299.924193,1507,1507,1507,30.176,160.672,306.392,3.048,724.941,0
local,17,17,5,1.0,1590,0,53.822,-1.0,315.854338,1590,1590,1590,29.134,173.033,306.786,2.493,855.444,0
local,18,18,5,1.0,1580,0,57.351,-1.0,313.854366,1580,1580,1580,31.663,191.754,328.1,2.17,781.22,0
local,19,19,5,1.0,1556,0,61.431,-1.0,309.292101,1556,1556,1556,32.915,207.99,381.479,3.257,684.086,0
local,20,20,5,1.0,1496,0,67.303,-1.0,297.162417,1496,1496,1496,35.633,212.75,443.751,2.318,1218.94,0
local,21,21,5,1.0,1613,0,65.689,-1.0,319.688406,1613,1613,1613,31.431,235.999,390.339,2.1,737.502,0
local,22,22,5,1.0,1553,0,71.146,-1.0,309.221367,1553,1553,1553,37.947,242.605,470.98,3.215,730.129,0
local,23,23,5,1.0,1551,0,74.790,-1.0,307.526488,1551,1551,1551,40.802,246.159,437.651,1.884,699.392,0
local,24,24,5,1.0,1476,0,81.990,-1.0,292.717057,1476,1476,1476,47.502,268.833,494.036,1.877,1410.831,0
local,25,25,5,1.0,1536,0,82.034,-1.0,304.751142,1536,1536,1536,40.657,294.74,578.635,3.292,1094.223,0
local,26,26,5,1.0,1518,0,86.487,-1.0,300.624836,1518,1518,1518,44.596,301.13,524.703,2.817,1434.72,0
local,27,27,5,1.0,1505,0,90.548,-1.0,298.185664,1505,1505,1505,51.777,293.799,568.917,3.537,1239.038,0
local,28,28,5,1.0,1573,0,89.802,-1.0,311.79608,1573,1573,1573,37.625,337.129,713.036,3.137,1973.615,0
local,29,29,5,1.0,1491,0,98.382,-1.0,294.769706,1491,1491,1491,59.31,308.478,539.648,3.447,1140.159,0
local,30,30,5,1.0,1494,0,101.330,-1.0,296.063779,1494,1494,1494,60.175,330.51,655.033,4.201,1166.832,0
local,31,31,5,1.0,1492,0,104.994,-1.0,295.254009,1492,1492,1492,48.179,369.788,875.835,3.469,2103.287,0
local,32,32,5,1.0,1493,0,109.670,-1.0,291.785239,1493,1493,1493,60.061,341.862,810.726,3.757,1894.958,0
on,1,1,5,1.0,749,0,15.086,-1.0,66.286893,749,749,749,1.595,2.012,3.991,1.09,10013.281,0
on,2,2,5,1.0,5219,0,5.446,-1.0,367.21532,5219,5219,5219,1.54,1.959,2.435,1.043,10019.23,0
on,3,3,5,1.0,6763,0,2.211,-1.0,1356.895116,6763,6763,6763,2.0,3.37,4.708,1.046,77.865,0
on,4,4,5,1.0,4680,0,4.261,-1.0,938.682379,4680,4680,4680,3.717,7.611,13.951,1.17,82.25,0
on,5,5,5,1.0,1499,0,16.673,-1.0,299.882408,1499,1499,1499,12.793,37.915,58.469,2.02,103.624,0
on,6,6,5,1.0,1292,0,23.218,-1.0,258.417159,1292,1292,1292,16.343,59.42,87.662,3.427,145.492,0
on,7,7,5,1.0,1363,0,25.727,-1.0,272.088637,1363,1363,1363,18.671,67.091,93.417,1.81,148.836,0
on,8,8,5,1.0,1386,0,28.906,-1.0,276.759675,1386,1386,1386,18.204,84.087,130.368,2.474,284.961,0
on,9,9,5,1.0,1284,0,35.204,-1.0,255.652784,1284,1284,1284,23.156,103.376,155.753,3.286,202.539,0
on,10,10,5,1.0,1137,0,44.253,-1.0,225.975585,1137,1137,1137,30.782,118.761,174.808,3.874,241.72,0
on,11,11,5,1.0,1173,0,47.154,-1.0,233.280565,1173,1173,1173,30.01,136.738,238.64,5.025,541.809,0
on,12,12,5,1.0,1149,0,52.536,-1.0,228.415891,1149,1149,1149,36.165,151.627,221.545,3.571,402.13,0
on,13,13,5,1.0,1123,0,58.356,-1.0,222.772375,1123,1123,1123,38.321,165.42,274.721,5.367,519.291,0
on,14,14,5,1.0,1113,0,63.470,-1.0,220.577088,1113,1113,1113,40.929,184.227,296.413,3.326,582.108,0
on,15,15,5,1.0,1079,0,70.111,-1.0,213.946708,1079,1079,1079,47.527,201.351,302.973,4.304,519.839,0
on,16,16,5,1.0,1038,0,77.997,-1.0,205.13688,1038,1038,1038,50.451,241.876,429.127,5.892,741.252,0
on,17,17,5,1.0,1090,0,78.672,-1.0,216.086853,1090,1090,1090,47.527,244.647,448.462,4.042,979.575,0
on,18,18,5,1.0,1082,0,84.062,-1.0,214.127169,1082,1082,1082,49.196,269.246,523.403,3.511,1012.293,0
on,19,19,5,1.0,1058,0,90.907,-1.0,209.004746,1058,1058,1058,62.417,251.748,518.383,4.243,1036.375,0
on,20,20,5,1.0,1041,0,97.099,-1.0,205.975954,1041,1041,1041,56.271,314.35,499.949,5.537,1152.667,0
on,21,21,5,1.0,979,0,108.792,-1.0,193.029448,979,979,979,68.321,347.238,583.859,6.073,1374.08,0
on,22,22,5,1.0,1066,0,104.603,-1.0,210.320004,1066,1066,1066,61.007,324.386,593.829,4.266,1414.512,0
on,23,23,5,1.0,1098,0,106.376,-1.0,216.214726,1098,1098,1098,71.121,304.19,612.089,5.627,955.544,0
on,24,24,5,1.0,1116,0,109.099,-1.0,219.983446,1116,1116,1116,61.596,368.678,624.32,5.258,1166.825,0
on,25,25,5,1.0,1065,0,119.521,-1.0,209.16759,1065,1065,1065,70.546,402.078,644.346,3.621,1035.705,0
on,26,26,5,1.0,1053,0,125.435,-1.0,207.277915,1053,1053,1053,77.838,386.581,621.703,5.231,1302.203,0
on,27,27,5,1.0,1095,0,125.387,-1.0,215.33394,1095,1095,1095,67.69,412.509,913.068,4.578,2113.557,0
on,28,28,5,1.0,1074,0,132.644,-1.0,211.091751,1074,1074,1074,87.295,420.956,781.707,4.224,1285.235,0
on,29,29,5,1.0,1140,0,129.272,-1.0,224.332787,1140,1140,1140,57.824,443.704,1156.784,4.319,2782.548,0
on,30,30,5,1.0,1091,0,140.061,-1.0,214.19288,1091,1091,1091,77.378,484.904,1057.364,3.604,1700.941,0
on,31,31,5,1.0,1075,0,147.105,-1.0,210.733325,1075,1075,1075,92.219,469.324,675.239,5.398,1573.144,0
on,32,32,5,1.0,1059,0,153.748,-1.0,208.132293,1059,1059,1059,103.979,456.978,703.037,4.684,1264.461,0
remote_write,1,1,5,1.0,121,0,85.274,-1.0,11.726896,121,121,121,1.607,5.842,63.054,1.075,10013.096,0
remote_write,2,2,5,1.0,301,0,68.826,-1.0,29.058744,301,301,301,1.555,3.346,60.54,1.074,10018.442,0
remote_write,3,3,5,1.0,290,0,84.020,-1.0,35.705808,290,290,290,2.093,9.155,7792.813,1.117,7802.336,0
remote_write,4,4,5,1.0,4692,0,11.329,-1.0,353.068976,4692,4692,4692,2.562,3.986,7.737,0.894,10029.104,0
remote_write,5,5,5,1.0,1727,0,32.634,-1.0,153.21268,1727,1727,1727,7.561,29.055,47.398,1.363,7761.391,0
remote_write,6,6,5,1.0,1291,0,23.234,-1.0,258.238736,1291,1291,1291,17.289,57.182,85.126,3.423,137.356,0
remote_write,7,7,5,1.0,1270,0,27.598,-1.0,253.642921,1270,1270,1270,20.003,70.546,103.208,2.456,149.609,0
remote_write,8,8,5,1.0,1380,0,29.011,-1.0,275.754083,1380,1380,1380,18.056,85.568,134.793,1.979,250.555,0
remote_write,9,9,5,1.0,1244,0,36.322,-1.0,247.783049,1244,1244,1244,22.859,103.345,167.294,3.813,267.384,0
remote_write,10,10,5,1.0,1311,0,38.274,-1.0,261.274461,1311,1311,1311,22.549,115.933,188.244,1.781,285.667,0
remote_write,11,11,5,1.0,1210,0,45.666,-1.0,240.881491,1210,1210,1210,27.686,140.516,252.715,1.746,524.135,0
remote_write,12,12,5,1.0,1203,0,50.214,-1.0,238.979243,1203,1203,1203,28.525,159.147,258.552,2.823,535.91,0
remote_write,13,13,5,1.0,1069,0,61.209,-1.0,212.386145,1069,1069,1069,40.54,173.714,313.747,3.8,463.739,0
remote_write,14,14,5,1.0,1126,0,62.680,-1.0,223.355353,1126,1126,1126,42.708,184.323,286.89,4.048,445.129,0
remote_write,15,15,5,1.0,1124,0,67.156,-1.0,223.362084,1124,1124,1124,40.061,202.25,375.753,4.309,647.209,0
remote_write,16,16,5,1.0,1056,0,76.515,-1.0,209.109656,1056,1056,1056,50.815,230.33,398.174,4.871,613.816,0
remote_write,17,17,5,1.0,805,0,106.676,-1.0,159.361256,805,805,805,53.596,325.318,1199.018,6.827,1683.812,0
remote_write,18,18,5,1.0,1098,0,83.006,-1.0,216.852351,1098,1098,1098,42.366,286.593,567.016,5.622,1293.809,0
remote_write,19,19,5,1.0,1061,0,90.826,-1.0,209.191038,1061,1061,1061,46.948,325.76,599.642,4.953,1020.765,0
remote_write,20,20,5,1.0,1043,0,97.136,-1.0,205.897066,1043,1043,1043,58.335,290.273,482.131,4.828,1297.108,0
remote_write,21,21,5,1.0,254,0,937.914,-1.0,22.390103,254,254,254,71.377,10143.097,10221.935,7.399,10518.227,0
remote_write,22,22,5,1.0,1040,0,107.476,-1.0,204.696767,1040,1040,1040,72.288,340.559,639.742,6.459,1108.311,0
remote_write,23,23,5,1.0,1133,0,102.852,-1.0,223.621717,1133,1133,1133,56.002,329.181,677.156,4.213,1658.013,0
remote_write,24,24,5,1.0,1084,0,112.258,-1.0,213.79376,1084,1084,1084,70.486,347.999,670.689,5.888,1108.579,0
remote_write,25,25,5,1.0,1023,0,282.982,-1.0,88.344929,1023,1023,1023,69.8,476.12,7122.611,2.621,7873.922,0
remote_write,26,26,5,1.0,1052,0,126.134,-1.0,206.130784,1052,1052,1052,63.352,441.818,836.943,4.028,1544.641,0
remote_write,27,27,5,1.0,1111,0,123.755,-1.0,218.173263,1111,1111,1111,69.195,388.016,818.174,4.825,1500.724,0
remote_write,28,28,5,1.0,1130,0,125.793,-1.0,222.587072,1130,1130,1130,61.602,448.852,862.281,4.617,2360.091,0
remote_write,29,29,5,1.0,1054,0,140.351,-1.0,206.624734,1054,1054,1054,78.48,479.724,884.191,5.224,1371.332,0
remote_write,30,30,5,1.0,1027,0,149.525,-1.0,200.635273,1027,1027,1027,93.678,471.953,845.781,6.436,1405.986,0
remote_write,31,31,5,1.0,1030,0,153.062,-1.0,202.532362,1030,1030,1030,83.92,474.631,1008.06,6.11,1673.318,0
remote_write,32,32,5,1.0,1071,0,151.888,-1.0,210.681037,1071,1071,1071,90.062,493.623,940.698,5.965,1481.556,0
remote_apply,1,1,5,1.0,426,0,25.577,-1.0,39.098287,426,426,426,1.794,2.432,8.368,1.224,10013.753,0
remote_apply,2,2,5,1.0,833,0,26.005,-1.0,76.908645,833,833,833,1.66,2.502,6.343,1.119,10018.681,0
remote_apply,3,3,5,1.0,6509,0,2.298,-1.0,1305.594842,6509,6509,6509,2.107,3.3,4.61,1.102,75.12,0
remote_apply,4,4,5,1.0,5959,0,3.347,-1.0,1195.148567,5959,5959,5959,3.029,4.907,9.746,1.16,74.485,0
remote_apply,5,5,5,1.0,2646,0,9.457,-1.0,528.703759,2646,2646,2646,6.029,28.045,45.427,1.643,105.434,0
remote_apply,6,6,5,1.0,1258,0,23.896,-1.0,251.090838,1258,1258,1258,18.608,58.186,91.159,1.876,137.331,0
remote_apply,7,7,5,1.0,73,0,991.552,-1.0,7.059638,73,73,73,21.208,10042.322,10116.586,3.383,10116.586,0
remote_apply,8,8,5,1.0,1086,0,36.951,-1.0,216.503983,1086,1086,1086,28.154,98.628,139.728,5.492,212.472,0
remote_apply,9,9,5,1.0,1102,0,41.009,-1.0,219.466521,1102,1102,1102,29.167,111.36,150.039,4.374,207.57,0
remote_apply,10,10,5,1.0,1083,0,46.371,-1.0,215.65165,1083,1083,1083,33.98,126.149,198.454,5.349,363.737,0
remote_apply,11,11,5,1.0,1135,0,48.807,-1.0,225.377597,1135,1135,1135,31.386,140.125,230.311,5.039,410.586,0
remote_apply,12,12,5,1.0,1033,0,58.634,-1.0,204.659176,1033,1033,1033,39.874,169.92,255.726,5.046,434.256,0
remote_apply,13,13,5,1.0,1037,0,63.322,-1.0,205.298889,1037,1037,1037,37.564,191.612,326.821,5.145,498.237,0
remote_apply,14,14,5,1.0,983,0,71.870,-1.0,194.796998,983,983,983,51.89,195.341,347.65,7.23,526.53,0
remote_apply,15,15,5,1.0,1044,0,72.501,-1.0,206.893149,1044,1044,1044,46.935,214.395,358.907,6.271,619.663,0
remote_apply,16,16,5,1.0,1021,0,79.045,-1.0,202.415786,1021,1021,1021,51.782,233.29,348.446,6.796,522.78,0
remote_apply,17,17,5,1.0,1031,0,83.415,-1.0,203.800252,1031,1031,1031,49.666,259.648,520.059,4.619,806.343,0
remote_apply,18,18,5,1.0,1012,0,90.080,-1.0,199.821977,1012,1012,1012,53.201,285.719,586.444,6.974,1311.662,0
remote_apply,19,19,5,1.0,1021,0,94.252,-1.0,201.586711,1021,1021,1021,48.131,326.872,644.679,4.057,1112.649,0
remote_apply,20,20,5,1.0,995,0,102.000,-1.0,196.079281,995,995,995,59.314,340.735,600.435,5.92,1349.778,0
remote_apply,21,21,5,1.0,1010,0,105.499,-1.0,199.054707,1010,1010,1010,54.531,381.809,735.579,5.11,1314.426,0
remote_apply,22,22,5,1.0,999,0,111.745,-1.0,196.877666,999,999,999,75.085,321.419,534.349,4.414,966.613,0
remote_apply,23,23,5,1.0,968,0,120.758,-1.0,190.462886,968,968,968,87.145,340.482,529.941,5.217,926.754,0
remote_apply,24,24,5,1.0,1026,0,118.993,-1.0,201.692685,1026,1026,1026,63.943,392.395,791.275,4.881,1489.893,0
remote_apply,25,25,5,1.0,1011,0,125.522,-1.0,199.169006,1011,1011,1011,73.355,428.75,720.89,6.421,1116.444,0
remote_apply,26,26,5,1.0,1005,0,131.880,-1.0,197.14959,1005,1005,1005,78.206,442.011,735.815,5.902,1537.771,0
remote_apply,27,27,5,1.0,985,0,139.444,-1.0,193.62637,985,985,985,94.323,386.557,891.768,5.229,1184.113,0
remote_apply,28,28,5,1.0,1028,0,138.861,-1.0,201.640111,1028,1028,1028,88.651,424.085,868.759,6.789,1270.129,0
remote_apply,29,29,5,1.0,1000,0,148.155,-1.0,195.741257,1000,1000,1000,91.524,468.89,768.915,5.656,1491.989,0
remote_apply,30,30,5,1.0,994,0,154.443,-1.0,194.247006,994,994,994,87.555,529.511,970.229,4.745,2090.386,0
remote_apply,31,31,5,1.0,996,0,159.568,-1.0,194.274065,996,996,996,98.614,529.716,911.46,5.266,1572.679,0
remote_apply,32,32,5,1.0,1031,0,157.828,-1.0,202.752637,1031,1031,1031,97.944,484.049,785.284,6.676,2425.055,0
