variant,threads,rows_per_task,cmdq_chunks,cmdq_tasks,host_elapsed_us,enqueue_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,dpa_throughput_mb_s,avg_dpa_cycles_per_row,mismatches
normal,64,4,77,1250000,3150496,154374,2998065,318.700,757.688,30531.9,0
normal,256,4,77,1250000,2553733,147455,2408289,393.175,2792.810,33133.2,0
normal,512,4,77,1250000,2457678,161941,2297771,408.542,5569.640,33228.2,0
fast_numeric,64,4,77,1250000,3399532,147090,3254250,295.354,833.708,27747.9,100000
fast_numeric,256,4,77,1250000,2641642,164631,2478935,380.091,3328.870,27797.6,100000
fast_numeric,512,4,77,1250000,2576997,147158,2431656,389.626,6623.530,27941.2,100000
skip_text_payload_copy,64,4,77,1250000,3364367,170693,3195525,298.441,851.870,27156.3,100000
skip_text_payload_copy,256,4,77,1250000,2608405,164238,2446095,384.934,3400.930,27208.6,100000
skip_text_payload_copy,512,4,77,1250000,2573281,164270,2410956,390.188,6753.600,27403.0,100000
fast_fields,64,4,77,1250000,3387266,162049,3227237,296.423,1314.850,17594.1,100000
fast_fields,256,4,77,1250000,3015402,152318,2864891,332.979,5159.110,17936.1,100000
fast_fields,512,4,77,1250000,2996894,163924,2834772,335.035,10315.900,17940.2,100000
