scenario,sweep_value,sweep_bytes,threads,rows,working_set_rows,input_working_set_rows,input_working_set_bytes,input_bytes_per_worker,ring_output_bytes,ring_bytes_per_worker,ring_slots,cmdq_chunks,cmdq_tasks,payload_bytes,host_elapsed_us,host_payload_throughput_mb_s,verification_skipped,source_csv
input_rows,1024,151410,190,25000000,100000,1024,151410,796.8947368421053,67108800,353204.2105263158,209715,1,190,5046533077,2497865,2020.34,100000,lineitem_100k_cache_ws_input_1024_ring64m_t190.csv
input_rows,4096,601509,190,25000000,100000,4096,601509,3165.8368421052633,67108800,353204.2105263158,209715,1,190,5021320253,2556235,1964.34,100000,lineitem_100k_cache_ws_input_4096_ring64m_t190.csv
input_rows,16384,2404284,190,25000000,100000,16384,2404284,12654.126315789474,67108800,353204.2105263158,209715,1,190,5018646673,2312998,2169.76,100000,lineitem_100k_cache_ws_input_16384_ring64m_t190.csv
input_rows,65536,9621900,190,25000000,100000,65536,9621900,50641.57894736842,67108800,353204.2105263158,209715,1,190,5020461594,2185140,2297.55,100000,lineitem_100k_cache_ws_input_65536_ring64m_t190.csv
input_rows,100000,14681284,190,25000000,100000,100000,14681284,77269.91578947369,67108800,353204.2105263158,209715,1,190,5020321000,2155935,2328.6,100000,lineitem_100k_cache_ws_input_100000_ring64m_t190.csv
input_rows,262144,38486394,190,25000000,100000,262144,38486394,202559.96842105262,67108800,353204.2105263158,209715,1,190,5020347111,2131094,2355.76,100000,lineitem_100k_cache_ws_input_262144_ring64m_t190.csv
input_rows,524288,76969938,190,25000000,100000,524288,76969938,405104.93684210523,67108800,353204.2105263158,209715,1,190,5020213803,2046647,2452.9,100000,lineitem_100k_cache_ws_input_524288_ring64m_t190.csv
input_rows,1000000,146812840,190,25000000,100000,1000000,146812840,772699.1578947369,67108800,353204.2105263158,209715,1,190,5020321000,2051972,2446.58,100000,lineitem_100k_cache_ws_input_1000000_ring64m_t190.csv
output_ring,64k,65536,190,25000000,100000,100000,14681284,77269.91578947369,65280,343.57894736842104,204,1,190,5020321000,2116736,2371.73,100000,lineitem_100k_cache_ws_output_ring_64k_input100k_t190.csv
output_ring,256k,262144,190,25000000,100000,100000,14681284,77269.91578947369,262080,1379.3684210526317,819,1,190,5020321000,2133025,2353.62,100000,lineitem_100k_cache_ws_output_ring_256k_input100k_t190.csv
output_ring,1m,1048576,190,25000000,100000,100000,14681284,77269.91578947369,1048320,5517.473684210527,3276,1,190,5020321000,2163386,2320.58,100000,lineitem_100k_cache_ws_output_ring_1m_input100k_t190.csv
output_ring,4m,4194304,190,25000000,100000,100000,14681284,77269.91578947369,4194240,22074.947368421053,13107,1,190,5020321000,2148580,2336.58,100000,lineitem_100k_cache_ws_output_ring_4m_input100k_t190.csv
output_ring,16m,16777216,190,25000000,100000,100000,14681284,77269.91578947369,16776960,88299.78947368421,52428,1,190,5020321000,2131954,2354.8,100000,lineitem_100k_cache_ws_output_ring_16m_input100k_t190.csv
output_ring,64m,67108864,190,25000000,100000,100000,14681284,77269.91578947369,67108800,353204.2105263158,209715,1,190,5020321000,2156313,2328.2,100000,lineitem_100k_cache_ws_output_ring_64m_input100k_t190.csv
output_ring,256m,268435456,190,25000000,100000,100000,14681284,77269.91578947369,268435200,1412816.8421052631,838860,1,190,5020321000,2151035,2333.91,100000,lineitem_100k_cache_ws_output_ring_256m_input100k_t190.csv
