experiment,variant,baseline_variant,delta_vs_baseline_pct,threads,rows,input_working_set_rows,input_working_set_bytes,input_map,host_payload_throughput_mb_s,baseline_mb_s,host_elapsed_us,cmdq_tasks,verification_skipped,source_csv
combined,precomputed+worker-shard,worker-shard,2.10186,190,25000000,1024,151410,worker-shard,2571.18,2518.25,1962671,190,100000,lineitem_100k_combo_precomputed_workershard_input_1024_t190.csv
combined,worker-shard,worker-shard,0,190,25000000,1024,151410,worker-shard,2518.25,2518.25,2003923,190,100000,lineitem_100k_combo_normal_workershard_input_1024_t190.csv
combined,precomputed+worker-shard,worker-shard,2.21077,190,25000000,4096,601509,worker-shard,2563.16,2507.72,1958963,190,100000,lineitem_100k_combo_precomputed_workershard_input_4096_t190.csv
combined,worker-shard,worker-shard,0,190,25000000,4096,601509,worker-shard,2507.72,2507.72,2002271,190,100000,lineitem_100k_combo_normal_workershard_input_4096_t190.csv
combined,precomputed+worker-shard,worker-shard,1.88189,190,25000000,100000,14681284,worker-shard,2494.14,2448.07,2012843,190,100000,lineitem_100k_combo_precomputed_workershard_input_100000_t190.csv
combined,worker-shard,worker-shard,0,190,25000000,100000,14681284,worker-shard,2448.07,2448.07,2050725,190,100000,lineitem_100k_combo_normal_workershard_input_100000_t190.csv
combined,precomputed+worker-shard,worker-shard,1.89435,190,25000000,524288,76969938,worker-shard,2496.86,2450.44,2010609,190,100000,lineitem_100k_combo_precomputed_workershard_input_524288_t190.csv
combined,worker-shard,worker-shard,0,190,25000000,524288,76969938,worker-shard,2450.44,2450.44,2048704,190,100000,lineitem_100k_combo_normal_workershard_input_524288_t190.csv
precomputed,normal,normal,0,190,25000000,1024,151410,logical,2014.02,2014.02,2505698,190,100000,lineitem_100k_precomputed_normal_input_1024_t190.csv
precomputed,precomputed,normal,2.21845,190,25000000,1024,151410,logical,2058.7,2014.02,2451322,190,100000,lineitem_100k_precomputed_precomputed_input_1024_t190.csv
precomputed,normal,normal,0,190,25000000,4096,601509,logical,1948.9,1948.9,2576493,190,100000,lineitem_100k_precomputed_normal_input_4096_t190.csv
precomputed,precomputed,normal,3.21669,190,25000000,4096,601509,logical,2011.59,1948.9,2496197,190,100000,lineitem_100k_precomputed_precomputed_input_4096_t190.csv
precomputed,normal,normal,0,190,25000000,100000,14681284,logical,2342.16,2342.16,2143457,190,100000,lineitem_100k_precomputed_normal_input_100000_t190.csv
precomputed,precomputed,normal,2.29062,190,25000000,100000,14681284,logical,2395.81,2342.16,2095455,190,100000,lineitem_100k_precomputed_precomputed_input_100000_t190.csv
precomputed,normal,normal,0,190,25000000,524288,76969938,logical,2441.29,2441.29,2056374,190,100000,lineitem_100k_precomputed_normal_input_524288_t190.csv
precomputed,precomputed,normal,2.0739,190,25000000,524288,76969938,logical,2491.92,2441.29,2014596,190,100000,lineitem_100k_precomputed_precomputed_input_524288_t190.csv
worker_shard,logical,logical,0,190,25000000,1024,151410,logical,2019.96,2019.96,2498327,190,100000,lineitem_100k_workershard_logical_input_1024_t190.csv
worker_shard,worker-shard,logical,24.6663,190,25000000,1024,151410,worker-shard,2518.21,2019.96,2003958,190,100000,lineitem_100k_workershard_worker-shard_input_1024_t190.csv
worker_shard,logical,logical,0,190,25000000,4096,601509,logical,1974.48,1974.48,2543108,190,100000,lineitem_100k_workershard_logical_input_4096_t190.csv
worker_shard,worker-shard,logical,26.9879,190,25000000,4096,601509,worker-shard,2507.35,1974.48,2002563,190,100000,lineitem_100k_workershard_worker-shard_input_4096_t190.csv
worker_shard,logical,logical,0,190,25000000,16384,2404284,logical,2062.65,2062.65,2433110,190,100000,lineitem_100k_workershard_logical_input_16384_t190.csv
worker_shard,worker-shard,logical,19.8764,190,25000000,16384,2404284,worker-shard,2472.63,2062.65,2029674,190,100000,lineitem_100k_workershard_worker-shard_input_16384_t190.csv
worker_shard,logical,logical,0,190,25000000,100000,14681284,logical,2345.84,2345.84,2140098,190,100000,lineitem_100k_workershard_logical_input_100000_t190.csv
worker_shard,worker-shard,logical,4.33874,190,25000000,100000,14681284,worker-shard,2447.62,2345.84,2051106,190,100000,lineitem_100k_workershard_worker-shard_input_100000_t190.csv
worker_shard,logical,logical,0,190,25000000,524288,76969938,logical,2440.95,2440.95,2056667,190,100000,lineitem_100k_workershard_logical_input_524288_t190.csv
worker_shard,worker-shard,logical,0.400254,190,25000000,524288,76969938,worker-shard,2450.72,2440.95,2048470,190,100000,lineitem_100k_workershard_worker-shard_input_524288_t190.csv
