variant,threads,iterations,rows,working_set_rows,input_working_set_rows,rows_per_dpa_task,schedule,window_writeback,input_materialization,input_location,input_map,input_working_set_bytes,ring_output_location,ring_partition,ring_output_bytes,ring_slots,cmdq_chunks,cmdq_tasks,payload_bytes,serializer_work_bytes,host_elapsed_us,control_setup_elapsed_us,end_to_end_elapsed_us,enqueue_elapsed_us,start_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,host_serializer_work_throughput_mb_s,end_to_end_serializer_work_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors,verification_skipped
fieldmeta16_forcedplan,190,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,190,5020321230,5020321230,1936819,767098,2703917,22,58,1936760,2592.04,2592.04,1856.68,0,0,0,0,0,0,100000
fieldmeta16_forcedplan,256,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,256,5020322238,5020322238,2552814,767098,3319912,33,61,2552753,1966.58,1966.58,1512.19,0,0,0,0,0,0,100000
fieldmeta16_forcedplan,190,1,25000000,100000,1024,16,static-chunked,0,materialized,dpa,worker-shard,151410,dpa,per-worker,67108800,209715,1,190,5046385878,5046385878,1873949,145460,2019409,24,56,1873893,2692.92,2692.92,2498.94,0,0,0,0,0,0,100000
fieldmeta16_forcedplan,256,1,25000000,100000,1024,16,static-chunked,0,materialized,dpa,worker-shard,151410,dpa,per-worker,67108800,209715,1,256,5046533844,5046533844,2442054,145460,2587514,33,59,2441995,2066.51,2066.51,1950.34,0,0,0,0,0,0,100000
fieldmeta16,190,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,190,5020321230,5020321230,2017326,767428,2784754,26,64,2017261,2488.6,2488.6,1802.79,0,0,0,0,0,0,100000
fieldmeta16,256,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,256,5020322238,5020322238,2668245,767428,3435673,34,58,2668186,1881.51,1881.51,1461.23,0,0,0,0,0,0,100000
fieldmeta16,190,1,25000000,100000,1024,16,static-chunked,0,materialized,dpa,worker-shard,151410,dpa,per-worker,67108800,209715,1,190,5046385878,5046385878,1962615,145731,2108346,28,61,1962554,2571.26,2571.26,2393.53,0,0,0,0,0,0,100000
fieldmeta16,256,1,25000000,100000,1024,16,static-chunked,0,materialized,dpa,worker-shard,151410,dpa,per-worker,67108800,209715,1,256,5046533844,5046533844,2563875,145731,2709606,31,62,2563813,1968.32,1968.32,1862.46,0,0,0,0,0,0,100000
fieldmeta32,190,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,190,5020321230,5020321230,2024152,769059,2793211,25,58,2024093,2480.21,2480.21,1797.33,0,0,0,0,0,0,100000
fieldmeta32,256,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,256,5020322238,5020322238,2670823,769059,3439882,31,63,2670759,1879.69,1879.69,1459.45,0,0,0,0,0,0,100000
fieldmeta32,190,1,25000000,100000,1024,16,static-chunked,0,materialized,dpa,worker-shard,151410,dpa,per-worker,67108800,209715,1,190,5046385878,5046385878,1965363,145419,2110782,26,60,1965303,2567.66,2567.66,2390.77,0,0,0,0,0,0,100000
fieldmeta32,256,1,25000000,100000,1024,16,static-chunked,0,materialized,dpa,worker-shard,151410,dpa,per-worker,67108800,209715,1,256,5046533844,5046533844,2589050,145419,2734469,36,64,2588986,1949.18,1949.18,1845.53,0,0,0,0,0,0,100000
meta16_cursor,190,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,190,5020321230,5020321230,2049795,768387,2818182,23,60,2049735,2449.18,2449.18,1781.4,0,0,0,0,0,0,100000
meta16_cursor,256,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,256,5020322238,5020322238,2719227,768387,3487614,35,60,2719167,1846.23,1846.23,1439.47,0,0,0,0,0,0,100000
meta16_cursor,190,1,25000000,100000,1024,16,static-chunked,0,materialized,dpa,worker-shard,151410,dpa,per-worker,67108800,209715,1,190,5046385878,5046385878,1984000,145210,2129210,22,59,1983941,2543.54,2543.54,2370.07,0,0,0,0,0,0,100000
meta16_cursor,256,1,25000000,100000,1024,16,static-chunked,0,materialized,dpa,worker-shard,151410,dpa,per-worker,67108800,209715,1,256,5046533844,5046533844,2540386,145210,2685596,33,62,2540323,1986.52,1986.52,1879.11,0,0,0,0,0,0,100000
meta16,190,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,190,5020321230,5020321230,2038066,765903,2803969,28,63,2038002,2463.28,2463.28,1790.43,0,0,0,0,0,0,100000
meta16,256,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,256,5020322238,5020322238,2693031,765903,3458934,34,63,2692968,1864.19,1864.19,1451.41,0,0,0,0,0,0,100000
meta16,190,1,25000000,100000,1024,16,static-chunked,0,materialized,dpa,worker-shard,151410,dpa,per-worker,67108800,209715,1,190,5046385878,5046385878,1976196,145406,2121602,22,60,1976136,2553.59,2553.59,2378.57,0,0,0,0,0,0,100000
meta16,256,1,25000000,100000,1024,16,static-chunked,0,materialized,dpa,worker-shard,151410,dpa,per-worker,67108800,209715,1,256,5046533844,5046533844,2584587,145406,2729993,32,58,2584529,1952.55,1952.55,1848.55,0,0,0,0,0,0,100000
meta32_cursor,190,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,190,5020321230,5020321230,2052323,769151,2821474,25,71,2052252,2446.17,2446.17,1779.33,0,0,0,0,0,0,100000
meta32_cursor,256,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,256,5020322238,5020322238,2722482,769151,3491633,34,62,2722420,1844.02,1844.02,1437.81,0,0,0,0,0,0,100000
meta32_cursor,190,1,25000000,100000,1024,16,static-chunked,0,materialized,dpa,worker-shard,151410,dpa,per-worker,67108800,209715,1,190,5046385878,5046385878,1980594,146072,2126666,26,60,1980534,2547.92,2547.92,2372.91,0,0,0,0,0,0,100000
meta32_cursor,256,1,25000000,100000,1024,16,static-chunked,0,materialized,dpa,worker-shard,151410,dpa,per-worker,67108800,209715,1,256,5046533844,5046533844,2537385,146072,2683457,35,60,2537325,1988.87,1988.87,1880.61,0,0,0,0,0,0,100000
meta32,190,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,190,5020321230,5020321230,2044482,765578,2810060,24,57,2044424,2455.55,2455.55,1786.55,0,0,0,0,0,0,100000
meta32,256,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,256,5020322238,5020322238,2689190,765578,3454768,37,60,2689129,1866.85,1866.85,1453.16,0,0,0,0,0,0,100000
meta32,190,1,25000000,100000,1024,16,static-chunked,0,materialized,dpa,worker-shard,151410,dpa,per-worker,67108800,209715,1,190,5046385878,5046385878,1977403,145293,2122696,37,60,1977342,2552.03,2552.03,2377.35,0,0,0,0,0,0,100000
meta32,256,1,25000000,100000,1024,16,static-chunked,0,materialized,dpa,worker-shard,151410,dpa,per-worker,67108800,209715,1,256,5046533844,5046533844,2607038,145293,2752331,35,59,2606979,1935.73,1935.73,1833.55,0,0,0,0,0,0,100000
