variant,threads,rows_per_task,cmdq_chunks,cmdq_tasks,host_elapsed_us,enqueue_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,dpa_throughput_mb_s,avg_dpa_cycles_per_row,mismatches
fast_fields,512,1,306,5000000,7800919,592973,7209755,128.711,14050.100,13172.1,100000
fast_fields,512,4,77,1250000,2993996,156000,2839966,335.359,10272.100,18016.7,100000
fast_fields,512,16,50,312500,1102700,40968,1062462,910.551,9068.710,20407.4,100000
fast_fields,512,64,50,78150,1636464,9305,1627280,613.557,9243.880,20020.7,100000
fast_fields,512,256,50,19550,5320441,2344,5318080,188.718,10457.200,17697.8,100000
fast_fields,512,all,50,25550,4488489,3312,4485168,223.698,9396.630,19695.3,100000
normal,512,4,77,1250000,2457678,161941,2297771,408.542,5569.640,33228.2,0
normal,512,8,50,625000,1427264,72253,1356421,703.489,5341.370,34648.3,0
normal,512,16,50,312500,1049144,39124,1010682,957.032,5219.200,35459.3,0
normal,512,32,50,156250,1406303,18387,1388202,713.974,5084.830,36396.3,0
