variant,threads,rows_per_task,cmdq_chunks,cmdq_tasks,host_elapsed_us,enqueue_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,dpa_throughput_mb_s,avg_dpa_cycles_per_row,mismatches
len_upfront_generic,256,16,50,312500,1465965,41101,1425610,684.917,2976.810,31085.1,0
lineitem_plan_v1,256,16,50,312500,1481994,40716,1442023,677.509,2833.170,32661.2,0
lineitem_plan_v2,256,16,50,312500,1457255,37498,1420428,689.011,2944.600,31425.1,0
trusted_writer_lineitem_plan,256,16,50,312500,1431760,40800,1391744,701.280,3034.960,30489.5,0
direct_lineitem_plan,256,16,50,312500,1423419,39295,1384820,705.389,3126.390,29597.9,0
len_upfront_generic,512,16,50,312500,960971,35509,926067,1044.840,6000.350,30843.1,0
lineitem_plan_v1,512,16,50,312500,958806,38935,920606,1047.200,5743.250,32223.7,0
lineitem_plan_v2,512,16,50,312500,948774,41438,908086,1058.280,5943.130,31140.0,0
trusted_writer_lineitem_plan,512,16,50,312500,936855,42862,894756,1071.740,6102.160,30328.5,0
direct_lineitem_plan,512,16,50,312500,940575,35201,905997,1067.500,6354.720,29123.1,0
inferred_layout,512,16,50,312500,934153,39019,895830,1074.840,6460.450,28646.5,0
