threads,iterations,rows,working_set_rows,input_working_set_rows,rows_per_dpa_task,window_writeback,input_materialization,input_location,input_working_set_bytes,ring_output_location,ring_output_bytes,ring_slots,cmdq_chunks,cmdq_tasks,payload_bytes,serializer_work_bytes,host_elapsed_us,enqueue_elapsed_us,start_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,host_serializer_work_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors,verification_skipped
1,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,60810447,165935,104,60646691,16.5114,16.5114,20.7153,87245479586,1057895,17449.1,0,0,0
2,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,31671196,166664,99,31506558,31.7028,31.7028,40.5237,89198059624,1077458,17839.6,0,0,0
4,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,17247418,166998,91,17082443,58.2153,58.2153,76.5716,94411756844,1132731,18882.4,0,0,0
8,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,10629818,149344,84,10482350,94.4573,94.4573,128.905,112164260666,1326814,22432.9,0,0,0
16,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,8333966,149449,77,8186374,120.479,120.479,170.166,169934152587,1898727,33986.8,0,0,0
32,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,5219885,163977,89,5057960,192.354,192.354,329.578,175479386489,2089911,35095.9,0,0,0
64,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,3362699,156791,74,3207874,298.589,298.589,672.977,171875479221,2013867,34375.1,0,0,0
128,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,2855636,148731,91,2708742,351.608,351.608,1325.73,174497407944,2143392,34899.5,0,0,0
256,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,2569977,147665,77,2424162,390.69,390.69,2622.33,176435434937,2164707,35287.1,0,0,0
512,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,2460818,141267,88,2321683,408.021,408.021,5224.28,177123887425,2185792,35424.8,0,0,0
