threads,logical_rows,working_set_rows,input_working_set_rows,rows_per_task,input_location,input_materialization,window_writeback,payload_bytes,host_elapsed_us,host_payload_throughput_mb_s,dpa_throughput_mb_s,avg_dpa_cycles_per_row,speedup_vs_1_worker,throughput_vs_64_worker,mismatches,status_errors
1,5000000,100000,100000,4,host,materialized,1,1004064200,60810447,16.5114,20.7153,17449.1,1.000000,0.055298,0,0
2,5000000,100000,100000,4,host,materialized,1,1004064200,31671196,31.7028,40.5237,17839.6,1.920055,0.106175,0,0
4,5000000,100000,100000,4,host,materialized,1,1004064200,17247418,58.2153,76.5716,18882.4,3.525764,0.194968,0,0
8,5000000,100000,100000,4,host,materialized,1,1004064200,10629818,94.4573,128.905,22432.9,5.720732,0.316346,0,0
16,5000000,100000,100000,4,host,materialized,1,1004064200,8333966,120.479,170.166,33986.8,7.296716,0.403494,0,0
32,5000000,100000,100000,4,host,materialized,1,1004064200,5219885,192.354,329.578,35095.9,11.649769,0.644210,0,0
64,5000000,100000,100000,4,host,materialized,1,1004064200,3362699,298.589,672.977,34375.1,18.083809,1.000000,0,0
128,5000000,100000,100000,4,host,materialized,1,1004064200,2855636,351.608,1325.73,34899.5,21.294863,1.177565,0,0
256,5000000,100000,100000,4,host,materialized,1,1004064200,2569977,390.69,2622.33,35287.1,23.661834,1.308454,0,0
512,5000000,100000,100000,4,host,materialized,1,1004064200,2460818,408.021,5224.28,35424.8,24.711472,1.366497,0,0
