scenario,value,threads,logical_rows,working_set_rows,input_working_set_rows,rows_per_task,input_location,input_materialization,input_working_set_bytes,cmdq_chunks,cmdq_tasks,payload_bytes,host_elapsed_us,enqueue_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,dpa_throughput_mb_s,avg_dpa_cycles_per_row,mismatches,status_errors
output_only,1024,256,5000000,1024,100000,4,host,materialized,14681284,4883,1250000,1004064200,3610119,153145,3455877,278.125,2536.75,36477.6,0,0
output_only,4096,256,5000000,4096,100000,4,host,materialized,14681284,1221,1250000,1004064200,3406518,149206,3257146,294.748,2514.57,36799.4,0,0
output_only,16384,256,5000000,16384,100000,4,host,materialized,14681284,306,1250000,1004064200,3433173,141585,3291937,292.46,2539.64,36436.2,0,0
output_only,32768,256,5000000,32768,100000,4,host,materialized,14681284,153,1250000,1004064200,2575213,146734,2429283,389.896,2681.9,34503.4,0,0
output_only,100000,256,5000000,100000,100000,4,host,materialized,14681284,77,1250000,1004064200,2564402,165706,2400659,391.539,2623.41,35272.6,0,0
input_only,1024,256,5000000,100000,1024,4,host,materialized,151410,77,1250000,1004064200,2171388,154375,2018952,464.821,2594.41,35853.1,0,0
input_only,4096,256,5000000,100000,4096,4,host,materialized,601509,77,1250000,1004064200,2330071,154302,2177703,431.002,2541.6,36415.3,0,0
input_only,16384,256,5000000,100000,16384,4,host,materialized,2404284,77,1250000,1004064200,2575257,163473,2413831,389.759,2642.36,35008,0,0
input_only,32768,256,5000000,100000,32768,4,host,materialized,4809500,77,1250000,1004064200,2592226,157739,2436326,387.262,2625.84,35233.2,0,0
input_only,100000,256,5000000,100000,100000,4,host,materialized,14681284,77,1250000,1004064200,2563161,170826,2394495,391.729,2623.2,35275.5,0,0
both_equal,1024,256,5000000,1024,1024,4,host,materialized,151410,4883,1250000,1004064200,3564683,163024,3400826,283.141,2653.05,35060.7,0,0
both_equal,4096,256,5000000,4096,4096,4,host,materialized,601509,1221,1250000,1004064200,3388761,156164,3232439,296.351,2552.87,36254.5,0,0
both_equal,16384,256,5000000,16384,16384,4,host,materialized,2404284,306,1250000,1004064200,3418013,161579,3256764,293.659,2540.47,36412.1,0,0
both_equal,32768,256,5000000,32768,32768,4,host,materialized,4809500,153,1250000,1004064200,2572631,157457,2416101,390.212,2697.91,34292,0,0
both_equal,100000,256,5000000,100000,100000,4,host,materialized,14681284,77,1250000,1004064200,2569751,148536,2423069,390.724,2621.94,35292.4,0,0
