threads,iterations,rows,working_set_rows,rows_per_dpa_task,window_writeback,input_materialization,input_working_set_bytes,ring_output_location,ring_output_bytes,ring_slots,cmdq_chunks,cmdq_tasks,payload_bytes,serializer_work_bytes,host_elapsed_us,enqueue_elapsed_us,start_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,host_serializer_work_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors,verification_skipped
64,1,1000000,200,4,1,shared,6853,host,0,0,5000,250000,50265000,50265000,712940,31948,285,679687,70.5038,70.5038,961.237,6024037180,39569963,6024.04,0,0,0
64,1,1000000,1024,4,1,shared,6853,host,0,0,977,250000,50270509,50270509,581149,29485,98,551386,86.5019,86.5019,891.22,6498018384,9355380,6498.02,0,0,0
64,1,1000000,4096,4,1,shared,6853,host,0,0,245,250000,50269289,50269289,569776,33586,69,536189,88.2264,88.2264,880.354,6578060264,2359650,6578.06,0,0,0
64,1,1000000,16384,4,1,shared,6853,host,0,0,62,250000,50265202,50265202,590036,29537,69,560919,85.1901,85.1901,859.32,6738525613,590212,6738.53,0,0,0
64,1,1000000,32768,4,1,shared,6853,host,0,0,31,250000,50265169,50265169,467491,33900,80,434471,107.521,107.521,844.926,6853319256,299700,6853.32,0,0,0
64,1,1000000,65536,4,1,shared,6853,host,0,0,16,250000,50265094,50265094,433174,31287,74,403859,116.039,116.039,800.408,7234483039,156826,7234.48,0,0,0
64,1,1000000,131072,4,1,shared,6853,host,0,0,16,250000,50265115,50265115,427744,31200,68,398522,117.512,117.512,795.727,7277042645,81556,7277.04,0,0,0
64,1,1000000,262144,4,1,shared,6853,host,0,0,16,250000,50265014,50265014,429559,31460,84,400085,117.015,117.015,787.092,7356860445,44862,7356.86,0,0,0
64,1,1000000,200,4,1,materialized,6853,host,0,0,5000,250000,50265000,50265000,706990,33616,272,672054,71.0972,71.0972,958.832,6039145261,39985924,6039.15,0,0,0
64,1,1000000,1024,4,1,materialized,35093,host,0,0,977,250000,50270509,50270509,585095,32791,93,552043,85.9185,85.9185,890.035,6506668082,9374881,6506.67,0,0,0
64,1,1000000,4096,4,1,materialized,140367,host,0,0,245,250000,50269289,50269289,586019,28093,65,557928,85.781,85.781,856.898,6758125538,2429842,6758.13,0,0,0
64,1,1000000,16384,4,1,materialized,561401,host,0,0,62,250000,50265202,50265202,649108,32250,74,617288,77.4373,77.4373,679.294,8524366390,645616,8524.37,0,0,0
64,1,1000000,32768,4,1,materialized,1122801,host,0,0,31,250000,50265169,50265169,523023,31229,80,492770,96.1051,96.1051,622.467,9302570485,346499,9302.57,0,0,0
64,1,1000000,65536,4,1,materialized,2245597,host,0,0,16,250000,50265094,50265094,479911,32731,76,449253,104.738,104.738,577.796,10021762398,185121,10021.8,0,0,0
64,1,1000000,131072,4,1,materialized,4491196,host,0,0,16,250000,50265115,50265115,479956,29636,72,452198,104.729,104.729,578.049,10017390637,95621,10017.4,0,0,0
64,1,1000000,262144,4,1,materialized,8982367,host,0,0,16,250000,50265014,50265014,478978,27858,71,452872,104.942,104.942,578.825,10003937716,58046,10003.9,0,0,0
