threads,iterations,rows,working_set_rows,input_working_set_rows,rows_per_dpa_task,window_writeback,input_materialization,input_working_set_bytes,ring_output_location,ring_output_bytes,ring_slots,cmdq_chunks,cmdq_tasks,payload_bytes,serializer_work_bytes,host_elapsed_us,enqueue_elapsed_us,start_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,host_serializer_work_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors,verification_skipped
64,1,5000000,32768,200,4,1,shared,6853,host,0,0,153,1250000,251325000,251325000,2100113,161174,77,1939838,119.672,119.672,916.666,31584708398,1475558,6316.94,0,0,0
64,1,5000000,32768,1024,4,1,shared,6853,host,0,0,153,1250000,251352537,251352537,2103007,148761,98,1955102,119.521,119.521,917.19,31570151786,1513878,6314.03,0,0,0
64,1,5000000,32768,4096,4,1,shared,6853,host,0,0,153,1250000,251346436,251346436,2116542,154831,81,1962626,118.753,118.753,913.833,31685334743,1538676,6337.07,0,0,0
64,1,5000000,32768,16384,4,1,shared,6853,host,0,0,153,1250000,251326001,251326001,2263468,148663,87,2115697,111.036,111.036,875.274,33078499082,1522535,6615.7,0,0,0
64,1,5000000,32768,32768,4,1,shared,6853,host,0,0,153,1250000,251325843,251325843,2336748,140848,87,2196707,107.554,107.554,844.768,34272997084,1467104,6854.6,0,0,0
64,1,5000000,32768,65536,4,1,shared,6853,host,0,0,153,1250000,251325463,251325463,2340045,164358,92,2176647,107.402,107.402,830.936,34843489801,1456646,6968.7,0,0,0
64,1,5000000,32768,131072,4,1,shared,6853,host,0,0,153,1250000,251325539,251325539,2344086,161798,85,2183186,107.217,107.217,821.437,35246392903,1482027,7049.28,0,0,0
64,1,5000000,32768,262144,4,1,shared,6853,host,0,0,153,1250000,251325064,251325064,2339814,176548,72,2164134,107.412,107.412,821.317,35251479897,1473680,7050.3,0,0,0
64,1,5000000,32768,200,4,1,materialized,6853,host,0,0,153,1250000,251325000,251325000,2093895,165826,74,1928948,120.028,120.028,917.198,31566401328,1452344,6313.28,0,0,0
64,1,5000000,32768,1024,4,1,materialized,35093,host,0,0,153,1250000,251352537,251352537,2112304,146790,81,1966360,118.994,118.994,914.815,31652101400,1651726,6330.42,0,0,0
64,1,5000000,32768,4096,4,1,materialized,140367,host,0,0,153,1250000,251346436,251346436,2232412,164100,81,2069157,112.59,112.59,870.648,33256969232,1819621,6651.39,0,0,0
64,1,5000000,32768,16384,4,1,materialized,561401,host,0,0,153,1250000,251326001,251326001,2491329,146769,71,2345425,100.88,100.88,705.244,41053550044,1654094,8210.71,0,0,0
64,1,5000000,32768,32768,4,1,materialized,1122801,host,0,0,153,1250000,251325843,251325843,2611547,169468,85,2443072,96.2364,96.2364,624.28,46377777680,1707506,9275.56,0,0,0
64,1,5000000,32768,65536,4,1,materialized,2245597,host,0,0,153,1250000,251325463,251325463,2639769,147950,82,2492673,95.2074,95.2074,588.227,49220262520,1713421,9844.05,0,0,0
64,1,5000000,32768,131072,4,1,materialized,4491196,host,0,0,153,1250000,251325539,251325539,2634628,162759,81,2472793,95.3932,95.3932,586.832,49337269453,1713049,9867.45,0,0,0
64,1,5000000,32768,262144,4,1,materialized,8982367,host,0,0,153,1250000,251325064,251325064,2646056,156509,89,2490469,94.981,94.981,587.65,49268518825,1706872,9853.7,0,0,0
