dataset,threads,iterations,rows,cmdq_chunks,host_mb_s,dpa_mb_s,mismatches,status_errors
100k,1,200,100000,13,32.8291,33.2566,0,0
100k,2,200,100000,7,60.7643,62.719,0,0
100k,4,200,100000,7,100.834,106.97,0,0
100k,8,200,100000,7,127.437,137.976,0,0
100k,16,200,100000,7,140.303,156.345,0,0
100k,32,200,100000,7,258.524,295.849,0,0
100k,64,200,100000,7,488.511,574.663,0,0
1m,1,20,1000000,123,28.617,32.2839,0,0
1m,2,20,1000000,62,53.0055,61.3336,0,0
1m,4,20,1000000,62,89.5394,107.016,0,0
1m,8,20,1000000,62,120.142,146.698,0,0
1m,16,20,1000000,62,134.813,172.38,0,0
1m,32,20,1000000,62,219.267,332.248,0,0
1m,64,20,1000000,62,329.528,652.415,0,0
5m,1,1,5000000,611,8.00297,20.7079,0,0
5m,2,1,5000000,306,13.3084,40.0336,0,0
5m,4,1,5000000,306,20.7913,78.4464,0,0
5m,8,1,5000000,306,28.7598,151.549,0,0
5m,16,1,5000000,306,35.3749,298.533,0,0
5m,32,1,5000000,306,39.0296,589.289,0,0
5m,64,1,5000000,306,42.04,1167.66,0,0
