location,ring_size,threads,iterations,rows,working_set_rows,rows_per_dpa_task,window_writeback,ring_output_location,ring_output_bytes,ring_slots,cmdq_chunks,cmdq_tasks,payload_bytes,serializer_work_bytes,host_elapsed_us,enqueue_elapsed_us,start_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,host_serializer_work_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors,verification_skipped
host,4k,64,200,100000,32768,4,1,host,4096,32,4,25000,5026534,1005306800,4101240,3273,77,4098929,1.22561,245.123,566.79,204328481969,7224244,2.04328e+06,0,0,32768
host,64k,64,200,100000,32768,4,1,host,65536,512,4,25000,5026534,1005306800,4103030,3299,80,4100731,1.22508,245.016,566.764,204337755330,7225145,2.04338e+06,0,0,32768
host,1m,64,200,100000,32768,4,1,host,1048576,8192,4,25000,5026534,1005306800,4101755,2858,83,4099755,1.22546,245.092,566.833,204313043035,7220806,2.04313e+06,0,0,32768
host,16m,64,200,100000,32768,4,1,host,16777216,131072,4,25000,5026534,1005306800,4100978,3112,68,4098789,1.22569,245.138,566.922,204281066706,7222939,2.04281e+06,0,0,32768
host,64m,64,200,100000,32768,4,1,host,67108864,524288,4,25000,5026534,1005306800,4100570,3019,70,4098471,1.22581,245.163,566.936,204275893913,7219208,2.04276e+06,0,0,32768
dpa,4k,64,200,100000,32768,4,1,dpa,4096,32,4,25000,5026534,1005306800,4286883,3466,83,4284477,1.17254,234.508,538.767,214956393495,7795243,2.14956e+06,0,0,32768
dpa,64k,64,200,100000,32768,4,1,dpa,65536,512,4,25000,5026534,1005306800,4098484,3178,75,4096208,1.22644,245.287,567.21,204177196505,7353376,2.04177e+06,0,0,32768
dpa,1m,64,200,100000,32768,4,1,dpa,1048576,8192,4,25000,5026534,1005306800,4090796,3176,82,4088514,1.22874,245.748,568.615,203672697126,7212315,2.03673e+06,0,0,32768
dpa,16m,64,200,100000,32768,4,1,dpa,16777216,131072,4,25000,5026534,1005306800,4093774,3072,88,4091581,1.22785,245.57,568.401,203749292149,7222996,2.03749e+06,0,0,32768
dpa,64m,64,200,100000,32768,4,1,dpa,67108864,524288,4,25000,5026534,1005306800,4093763,2982,66,4091656,1.22785,245.57,568.454,203730358283,7213267,2.0373e+06,0,0,32768
