client,metric,value,err_low,err_high,figure,spin_limit,spin_limit_numeric,target,kind,point,config,basebackup_s,basebackup_err_low,basebackup_err_high,tps,tps_err_low,tps_err_high,p99_ms,p99_err_low,p99_err_high,dx_tps,dx_p99,dy_tps,dy_p99
c1,TPS,1.7006865661037858,0.10474977152139298,0.10474977152139298,figure1a,,,,,,,,,,,,,,,,,,,
c1,p99,4.965271155191049,0.6163614978701766,0.6163614978701757,figure1a,,,,,,,,,,,,,,,,,,,
c4,TPS,1.8421262606830067,0.04850564386847345,0.04850564386847367,figure1a,,,,,,,,,,,,,,,,,,,
c4,p99,2.0604872027257106,0.06611308176931119,0.06611308176931097,figure1a,,,,,,,,,,,,,,,,,,,
standalone,basebackup elapsed,4.09,0.019999999999999574,0.020000000000000462,figure1b,,,,,,,,,,,,,,,,,,,
+ c1 txn client,basebackup elapsed,4.199999999999999,0.019999999999999574,0.020000000000000462,figure1b,,,,,,,,,,,,,,,,,,,
+ c4 txn clients,basebackup elapsed,4.225,0.034999999999999254,0.03500000000000014,figure1b,,,,,,,,,,,,,,,,,,,
,c4 TPS,6777.0,100.0,100.0,figure2,0,0.0,256 KiB,256 KiB target,,,,,,,,,,,,,,,
,c4 p99 latency,0.8915,0.023499999999999965,0.023500000000000076,figure2,0,0.0,256 KiB,256 KiB target,,,,,,,,,,,,,,,
,basebackup elapsed,4.555,0.01499999999999968,0.015000000000000568,figure2,0,0.0,256 KiB,256 KiB target,,,,,,,,,,,,,,,
,c4 TPS,6684.0,3.0,3.0,figure2,32,32.0,256 KiB,256 KiB target,,,,,,,,,,,,,,,
,c4 p99 latency,0.901,0.0020000000000000018,0.0020000000000000018,figure2,32,32.0,256 KiB,256 KiB target,,,,,,,,,,,,,,,
,basebackup elapsed,4.5649999999999995,0.004999999999999893,0.005000000000000782,figure2,32,32.0,256 KiB,256 KiB target,,,,,,,,,,,,,,,
,c4 TPS,6377.5,70.5,70.5,figure2,128,128.0,256 KiB,256 KiB target,,,,,,,,,,,,,,,
,c4 p99 latency,0.9445,0.007499999999999951,0.007499999999999951,figure2,128,128.0,256 KiB,256 KiB target,,,,,,,,,,,,,,,
,basebackup elapsed,4.359999999999999,0.1899999999999995,0.1900000000000004,figure2,128,128.0,256 KiB,256 KiB target,,,,,,,,,,,,,,,
,c4 TPS,6124.0,4.0,4.0,figure2,512,512.0,256 KiB,256 KiB target,,,,,,,,,,,,,,,
,c4 p99 latency,0.979,0.0030000000000000027,0.0030000000000000027,figure2,512,512.0,256 KiB,256 KiB target,,,,,,,,,,,,,,,
,basebackup elapsed,4.5,0.08000000000000007,0.08000000000000007,figure2,512,512.0,256 KiB,256 KiB target,,,,,,,,,,,,,,,
,c4 TPS,4989.2519545,12.71632049999971,12.71632050000062,figure2,2K,2048.0,8 MiB,8 MiB target diagnostic,,,,,,,,,,,,,,,
,c4 p99 latency,1.1600000000000001,0.007000000000000117,0.006999999999999895,figure2,2K,2048.0,8 MiB,8 MiB target diagnostic,,,,,,,,,,,,,,,
,basebackup elapsed,5.545,0.004999999999999893,0.004999999999999893,figure2,2K,2048.0,8 MiB,8 MiB target diagnostic,,,,,,,,,,,,,,,
,c4 TPS,2715.936127,10.759283999999752,10.759284000000207,figure2,8K,8192.0,8 MiB,8 MiB target diagnostic,,,,,,,,,,,,,,,
,c4 p99 latency,2.016,0.007000000000000117,0.007000000000000117,figure2,8K,8192.0,8 MiB,8 MiB target diagnostic,,,,,,,,,,,,,,,
,basebackup elapsed,14.899999999999999,0.03999999999999915,0.040000000000000924,figure2,8K,8192.0,8 MiB,8 MiB target diagnostic,,,,,,,,,,,,,,,
,c4 TPS,1451.0,183.0,183.0,figure2,16K,16384.0,8 MiB,8 MiB target diagnostic,,,,,,,,,,,,,,,
,c4 p99 latency,3.4524999999999997,0.060499999999999776,0.06050000000000022,figure2,16K,16384.0,8 MiB,8 MiB target diagnostic,,,,,,,,,,,,,,,
,basebackup elapsed,26.905,1.8850000000000016,1.884999999999998,figure2,16K,16384.0,8 MiB,8 MiB target diagnostic,,,,,,,,,,,,,,,
,,,,,figure3,,,,,8M Exh,Exh-8M,4.225,0.034999999999999254,0.03500000000000014,4630.0,104.0,104.0,1.4565000000000001,0.0385000000000002,0.03849999999999998,-34.0,8.0,-16.0,-14.0
,,,,,figure3,,,,,64K Exh,Exh-64K,4.365,0.1850000000000005,0.1849999999999996,6510.0,156.0,156.0,0.9315,0.020499999999999963,0.020499999999999963,-50.0,-42.0,-2.0,-18.0
,,,,,figure3,,,,,64K Lim-S,LimS-64K,4.5600000000000005,0.010000000000000675,0.009999999999999787,6704.0,33.0,33.0,0.897,0.009000000000000008,0.009000000000000008,-48.0,8.0,10.0,8.0
,,,,,figure3,,,,,1M Lim-M,LimM-1M,3.92,0.009999999999999787,0.010000000000000231,4562.5,117.5,117.5,1.613,0.2669999999999999,0.2669999999999999,8.0,8.0,0.0,9.0
,,,,,figure3,,,,,8M Lim-L,LimL-8M,4.265000000000001,0.025000000000000355,0.024999999999999467,4624.0,135.0,135.0,1.7725,0.3165,0.3165,8.0,8.0,0.0,7.0
